length,position,mean,sem,gram
45,34,3.2087968526113424,0.024431509272904432,unigram
45,35,3.1900098351169497,0.02404725996917209,unigram
45,36,3.1642667396347326,0.02449639019856152,unigram
45,37,3.19127612595322,0.024212795970542895,unigram
45,38,3.2170791651714192,0.02420346566126178,unigram
45,39,3.142338835693688,0.023894223635514952,unigram
45,40,3.197422523037488,0.024074892241217158,unigram
45,41,3.194433505222685,0.02422445541388519,unigram
45,42,3.264611738865748,0.024238103851336183,unigram
45,43,3.0310461350849085,0.0243385809077094,unigram
45,44,3.19324003354694,0.025103907533627613,unigram
45,45,4.277439861294457,0.016654348123060873,unigram
15,1,2.516573416617425,0.009076843341834177,trigram
15,2,2.675013807810434,0.01034379399333027,trigram
15,3,2.642316736016904,0.009841752109096349,trigram
15,4,2.7275784604334126,0.009931814204782268,trigram
15,5,2.7444556630097945,0.009842646226193833,trigram
15,6,2.765542989435261,0.009871785448244394,trigram
15,7,2.7862036220040225,0.009877352652489868,trigram
15,8,2.776393629433067,0.00980639297646339,trigram
15,9,2.7614898842002216,0.009813925006208868,trigram
15,10,2.7407058955445813,0.00980382269559197,trigram
15,11,2.7605009087493437,0.009855203360558088,trigram
15,12,2.7827501611171064,0.009897270584092612,trigram
15,13,2.649585118872149,0.009891459682956778,trigram
15,14,2.7087668324501095,0.010222450741359764,trigram
15,15,3.6313669543548284,0.009492790009867136,trigram
30,1,2.5097569931098076,0.012727763186522379,trigram
30,2,2.6750937377730515,0.014680016211345407,trigram
30,3,2.681517345589468,0.014094299133989702,trigram
30,4,2.689242490040204,0.013801095332999563,trigram
30,5,2.722469386414379,0.014086927097475284,trigram
30,6,2.7592816706631353,0.014086944658562682,trigram
30,7,2.7818259059256163,0.013916398587904596,trigram
30,8,2.7549502892639075,0.014136107032093103,trigram
30,9,2.7732071132459937,0.013958784837508774,trigram
30,10,2.7726725919651547,0.01410398506905534,trigram
30,11,2.7633090682280423,0.013913545849062403,trigram
30,12,2.7678176260144123,0.013900417355241107,trigram
30,13,2.777650379008813,0.013921925047560006,trigram
30,14,2.7802658228116273,0.013898584296501294,trigram
30,15,2.7669450258017223,0.013896456172618176,trigram
30,16,2.7617174640869213,0.013909591275046908,trigram
30,17,2.7514029959233963,0.013966614456285536,trigram
30,18,2.777593591542199,0.013926896986375979,trigram
30,19,2.750004001461831,0.01390671576351102,trigram
30,20,2.760937778935323,0.013851342324056147,trigram
30,21,2.749522083800215,0.013839896058120879,trigram
30,22,2.758913028611507,0.013877712989155949,trigram
30,23,2.7597595893990943,0.013807598696594217,trigram
30,24,2.7698805316309945,0.013860492490726267,trigram
30,25,2.7087061119269347,0.013821571347386588,trigram
30,26,2.7631693160770188,0.014093762278991798,trigram
30,27,2.768390956884355,0.014057293918862974,trigram
30,28,2.630483722653925,0.013991945992624237,trigram
30,29,2.6885300161570864,0.014385465942785227,trigram
30,30,3.604698779506892,0.013418730588645969,trigram
45,1,2.4867176561354065,0.02574477936175429,trigram
45,2,2.6464260701413567,0.03064631502485932,trigram
45,3,2.6811106674795693,0.029240430405157447,trigram
45,4,2.69328636826708,0.028340112830905574,trigram
45,5,2.7433900023377578,0.02938088401152122,trigram
45,6,2.740148513678441,0.0287085954543983,trigram
45,7,2.7766707392695316,0.029080265031459027,trigram
45,8,2.799228903804976,0.028684302093768245,trigram
45,9,2.770731257154788,0.028413269576467996,trigram
45,10,2.823963556714411,0.029206483048417577,trigram
45,11,2.751187361803088,0.029110966216034626,trigram
45,12,2.769038497542235,0.028881646875250022,trigram
45,13,2.759100404850606,0.02852019074848594,trigram
45,14,2.748391352262072,0.02875353865335495,trigram
45,15,2.7769595471302386,0.028812434696319437,trigram
45,16,2.750016046998899,0.028406582673450646,trigram
45,17,2.8089284581352754,0.02848051370913737,trigram
45,18,2.8088194846495798,0.02901354303638816,trigram
45,19,2.759333826035729,0.028497709051188997,trigram
45,20,2.7603838395629317,0.028803942838375785,trigram
45,21,2.753120549402723,0.028625906883813914,trigram
45,22,2.7513038031912047,0.028220477512473346,trigram
45,23,2.7258009771550555,0.02844846284324487,trigram
45,24,2.7584106240735458,0.02870743688991464,trigram
45,25,2.731636508158177,0.028758594864926438,trigram
45,26,2.736871944333987,0.028816553704883962,trigram
45,27,2.7396398128434964,0.028127496648455486,trigram
45,28,2.7280850891729305,0.028763679616695917,trigram
45,29,2.7773697945369586,0.02855600856778589,trigram
45,30,2.7415446896692073,0.02830676679980323,trigram
45,31,2.713657997083068,0.02832569788333821,trigram
45,32,2.7284367539797865,0.028710456858079818,trigram
45,33,2.7955130229046694,0.02888302836941943,trigram
45,34,2.7860678525660063,0.02912015508174597,trigram
45,35,2.7489581868954858,0.02836877356972979,trigram
45,36,2.7486757716472545,0.02872372253826077,trigram
45,37,2.7472929036300253,0.028707822981145135,trigram
45,38,2.7921204757934883,0.0289965575553892,trigram
45,39,2.7223285618824518,0.02806896297796195,trigram
45,40,2.755932630464382,0.028455162176812605,trigram
45,41,2.7571530698087496,0.028735898905563023,trigram
45,42,2.810462035417786,0.028717873044198355,trigram
45,43,2.566586353197498,0.029108413248926976,trigram
45,44,2.748602574851718,0.030091771496925948,trigram
45,45,3.643209906886381,0.027167130108698062,trigram
