language,1A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,81A,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,10A,110A,71A,72A,73A,74A,75A,76A,77A,78A,79A,7A,80A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A
Malayalam,Average,Exclusively concatenative,Case + number,2-3 categories per word,No marking,Dependent marking,Dependent-marking,Strongly suffixing,Full reduplication only,Core and non-core,Syncretic,None,No gender,No gender,Plural word,"All nouns, always obligatory",Person-number stem,Associative same as additive plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Different inflection,Related for all demonstratives,"3rd person only, but also non-singular",Multiple politeness distinctions,Interrogative-based,Identical,No person marking,6-7 cases,In both plosives and fricatives,Symmetrical,No case affixes or adpositional clitics,Differentiation,"First/one-th, two-th, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,Two classes,Missing /g/,Highly differentiated,Without marking,Mixed,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Final subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Neutral,Nominative - accusative (standard),Neutral,Optional pronouns in subject position,Only the A argument,Zero in all 3sg forms,A and P are fused,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Both,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,None,No glottalized consonants,None,Morphological but no compound,Negative affix,Both,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Different,None,Impossible
Maltese,Average,Exclusively concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,Core and non-core,No subject person/number marking,Two,Sex-based,Semantic and formal,No plural,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,No person marking,Two-way contrast,Identical,Related by gender markers,In 3rd person + 1st and/or 2nd person,Binary politeness distinction,Generic-noun-based,Identical,No person marking,No morphological case-marking,In both plosives and fricatives,Additive-quantitatively asymmetrical,Postpositional clitics,Differentiation,"First, two-th, three-th",Marked by reduplication,Obligatory,Formally different,No possessive affixes,Absent,Two classes,None missing in /p t k b d g/,Highly differentiated,Marked by preceding word,Double-Possessive,'And' different from 'with',Differentiation,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Mixed type,Uvular continuants only,Second singular and second plural,VSO,SV,OV,XOV,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Final,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,OV and RelN,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Optional pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,None,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,A/Fin and A/Cat,Mixed behaviour,Question particle,Locational,Nonverbal encoding,Identical,None,Possible
Manx,Moderately large,Exclusively isolating,Case + number,2-3 categories per word,Double marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,Core and non-core,Syncretic,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,Definite affix,Indefinite word distinct from 'one',No inclusive/exclusive,Average,No person marking,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Generic-noun-based,Identical,No person marking,5 cases,In plosives alone,Additive-quantitatively asymmetrical,Case suffixes,Differentiation,"First/one-th, two-th, three-th",Marked by reduplication,Obligatory,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by suffix,Sentential,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,Uvular continuants only,Second person number-neutral,SOV,SV,VO,No dominant order,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,Other,Neutral,Nominative - accusative (standard),Accusative,Optional pronouns in subject position,Both the A and P arguments,Zero in all 3sg forms,A precedes P,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,Separate particle,None,No glottalized consonants,"Singular-plural pairs, suppletion",Morphological but no compound,Variation between negative word and affix,Symmetric,A/Fin and A/Cat,Mixed behaviour,Question particle,'Have',Nonverbal encoding,Different,High and mid,Impossible
Maori,Small,Isolating/concatenative,Monoexponential case,6-7 categories per word,Dependent marking,Dependent marking,Dependent-marking,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Inclusive/exclusive,Low,No person marking,Three-way contrast,Identical,Related to remote demonstratives,No gender distinctions,No politeness distinction,Mixed,Differentiated,No person marking,No morphological case-marking,No voicing contrast,No case-marking,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",Marked by prefix,Obligatory,Formally different,No possessive affixes,Absent,No possessive classification,Other,Adjectives and relative clauses collapsed,Without marking,Mixed,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,No tense-aspect inflection,None,No second-person imperatives,VSO,VS,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,Noun-Numeral,No laterals,Noun-Relative clause,Adjective-Degree word,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Other,No overlap,No grammatical evidentials,No grammatical evidentials,None,No glottalized consonants,None,Morphological but no compound,"Negative word, unclear if verb or particle",Asymmetric,A/Fin,Predicate negation also present,Interrogative intonation only,Genitive,Mixed,Different,None,Possible
Marathi,Average,Exclusively concatenative,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Double-marking,Strongly suffixing,Productive full and partial reduplication,No syncretism,Syncretic,Three,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique affixal associative plural,No definite or indefinite article,No definite or indefinite article,'We' the same as 'I',Moderately low,No person marking,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,No person marking,5 cases,In both plosives and fricatives,Symmetrical,Case suffixes,Identity,"First, second, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,Two classes,None missing in /p t k b d g/,Highly differentiated,Without marking,Sentential,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second person number-neutral,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Subordinating suffix,OV and Postpositions,OV and RelN,OV and AdjN,Tripartite,Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,Indirect only,Mixed,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,A/Cat,Predicate negation also present,Question particle,Topic,Nonverbal encoding,Different,None,Impossible
Mazandarani,Average,Exclusively concatenative,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Two,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique affixal associative plural,Definite affix,Indefinite word same as 'one',No inclusive/exclusive,Average,No person marking,Three-way contrast,Different inflection,Unrelated,3rd person singular only,Multiple politeness distinctions,Generic-noun-based,Identical,No person marking,5 cases,In both plosives and fricatives,Syncretism in relevant NP-types,Case suffixes,Differentiation,"First, two-th, three-th",Marked by prefix,Optional,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,Missing /g/,Genitives and adjectives collapsed,Marked by mixed or other strategies,Other,'And' identical to 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,Uvular stops and continuants,No second-person imperatives,SVO,SV,No dominant order,VOX,Postpositions,No dominant order,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Adjective-Degree word,Other position,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Active-inactive,Neutral,Accusative,Subject affixes on verb,Only the A argument,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative present,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,Part of the tense system,Tense,No glottalized consonants,None,Neither,"Negative word, unclear if verb or particle",Symmetric,A/Fin,Predicate negation also present,Question particle,Locational,Verbal encoding,Different,None,Possible
Mingrelian,Average,Exclusively isolating,Case + number,4-5 categories per word,Dependent marking,Head marking,Dependent-marking,Strongly suffixing,No productive reduplication,No syncretism,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Number-indifferent pronouns,Unique periphrastic associative plural,Definite affix,Indefinite word distinct from 'one','We' the same as 'I',Moderately low,No person marking,Two-way contrast,Identical,Unrelated,3rd person singular only,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,10 or more cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Marked by preceding word,Possessive-Accusative,'And' identical to 'with',Identity,No grammatical marking,No past tense,Inflectional future exists,From possessive,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,No dominant order,Prepositions,Noun-Genitive,Adjective-Noun,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Neutral,Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Affixes on verbs,No overlap,Direct and indirect,Mixed,Tense,Ejectives only,"Singular-plural pairs, no suppletion",Morphological but no compound,"Negative word, unclear if verb or particle",Symmetric,A/Fin and A/Cat,Mixed behaviour,Interrogative word order,Topic,Mixed,Identical,High and mid,Possible
Mirandese,Average,Ablaut/concatenative,No case,4-5 categories per word,Dependent marking,Double marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Two,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person stem + pronominal plural affix,Associative same as additive plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Average,No person marking,Three-way contrast,Identical,Unrelated,No gender distinctions,Multiple politeness distinctions,Mixed,Identical,Pronouns only,6-7 cases,In plosives alone,Symmetrical,Case suffixes,Mixed,"First, two, three",Marked by suffix,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by suffix,Mixed,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,Uvular stops only,Second singular and second plural,SOV,SV,OV,No dominant order,Postpositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,No dominant order,Initial,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Obligatory pronouns in subject position,No person marking,Zero in all 3sg forms,A precedes P,Indirect-object construction,Distinct from reflexive,Present,Oblique patient,Benefactive and other; both bases,Contrast present,Sequential but no purposive,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Direct and indirect,No grammatical evidentials,None,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,A/Fin,Predicate negation also present,Interrogative verb morphology,Locational,Nonverbal encoding,Identical,None,Possible
Mongolian,Average,Tonal/isolating,Monoexponential case,2-3 categories per word,Dependent marking,Head marking,Dependent-marking,Weakly suffixing,Productive full and partial reduplication,Core and non-core,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,Associative same as additive plural,No definite or indefinite article,Indefinite word same as 'one',No inclusive/exclusive,Moderately low,No person marking,Two-way contrast,Identical,Related for all demonstratives,"3rd person only, but also non-singular",Binary politeness distinction,Interrogative-based,Identical,No person marking,No morphological case-marking,In both plosives and fricatives,Additive-quantitatively asymmetrical,Case suffixes,Identity,"First, two-th, three-th",Marked by preceding word,Obligatory,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,Other,Highly differentiated,Without marking,Mixed,'And' identical to 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular,SOV,SV,OV,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Final,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Neutral,Accusative,Subject affixes on verb,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,Benefactive object; only transitive,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Affixes on verbs,Overlap for both possibility and necessity,Indirect only,Part of the tense system,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Interrogative intonation only,Locational,Nonverbal encoding,Different,None,Impossible
Nahuatl,Moderately large,Exclusively concatenative,Monoexponential case,4-5 categories per word,Head marking,Dependent marking,Zero-marking,Strongly suffixing,Productive full and partial reduplication,Core cases only,Not syncretic,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person stem + pronominal plural affix,Associative same as additive plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Special,Identical,No person marking,3 cases,In both plosives and fricatives,Symmetrical,No case affixes or adpositional clitics,Identity,"First, second, three-th",Marked by preceding word,Absent,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,Missing /p/,Highly differentiated,Without marking,Sentential,'And' different from 'with',Differentiation,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,No dominant order,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"Laterals, but no /l/, no obstruent laterals",Noun-Relative clause,No dominant order,Initial,Mixed,Initial subordinator word,VO and Prepositions,OV and RelN,OV and AdjN,Neutral,Nominative - accusative (standard),Accusative,Subject pronouns in different position,No person marking,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Both,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Other,Overlap for either possibility or necessity,Indirect only,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Neither,Negative particle,Asymmetric,A/Fin and A/Cat,Mixed behaviour,Question particle,Conjunctional,Verbal encoding,Identical,None,Impossible
Neapolitan,Moderately large,Tonal/isolating,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No syncretism,Not syncretic,Two,No gender,No gender,Plural word,"All nouns, always obligatory",Person-number stem + pronominal plural affix,No associative plural,Demonstrative word used as definite article,No definite or indefinite article,No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,No morphological case-marking,In fricatives alone,Syncretism in relevant NP-types,Case suffixes,Differentiation,"One-th, two-th, three-th",Marked by preceding word,Optional,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and relative clauses collapsed,Without marking,Mixed,'And' identical to 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular,SVO,SV,VO,VOX,Prepositions,Genitive-Noun,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and NRel,OV and NAdj,Neutral,Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Affixes on verbs,Other,Overlap for both possibility and necessity,No grammatical evidentials,Separate particle,Tense,No glottalized consonants,None,Morphological but no compound,Negative affix,Asymmetric,Non-assignable,Predicate negation also present,Question particle,Conjunctional,Verbal encoding,Different,None,Impossible
Nepali,Moderately large,Exclusively isolating,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Full reduplication only,Core and non-core,No subject person/number marking,Three,No gender,No gender,Plural suffix,"All nouns, always optional",Person-number stem,Associative same as additive plural,Definite word distinct from demonstrative,No definite or indefinite article,No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Different inflection,Unrelated,3rd person singular only,Multiple politeness distinctions,Interrogative-based,Differentiated,No person marking,3 cases,In plosives alone,Syncretism in relevant NP-types,Case suffixes,Identity,"First, second, three-th",Marked by preceding word,Optional,"Formally similar, with interrogative",Possessive suffixes,Absent,Two classes,None missing in /p t k b d g/,Highly differentiated,Marked by suffix,Sentential,'And' different from 'with',Identity,No grammatical marking,No past tense,No inflectional future,Other perfect,Tense-aspect suffixes,None,Second person number-neutral,SOV,SV,OV,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Final subordinator word,OV and Postpositions,Other,OV and AdjN,Nominative - accusative (standard),Tripartite,Ergative,Subject affixes on verb,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative present,Verbal constructions,Other,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,Tense and aspect,No glottalized consonants,"Singular-plural pairs, no suppletion",Neither,Negative affix,Symmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Genitive,Nonverbal encoding,Different,None,Impossible
Norman,Moderately small,Exclusively concatenative,Monoexponential case,2-3 categories per word,No marking,Dependent marking,Dependent-marking,Little affixation,Productive full and partial reduplication,No case marking,Not syncretic,Three,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,No associative plural,No definite or indefinite article,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Mixed,Identical,Pronouns only,10 or more cases,In both plosives and fricatives,Symmetrical,Case suffixes,Mixed,"First, second, three-th",Marked by prefix,Absent,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by preceding word,Mixed,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,VSO,SV,VO,VOX,No dominant order,No dominant order,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,No laterals,Noun-Relative clause,Degree word-Adjective,Final,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Subject affixes on verb,Both the A and P arguments,No zero realization,A precedes P,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Affixes on verbs,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,None,Ejectives only,None,Morphological but no compound,"Negative word, unclear if verb or particle",Symmetric,Non-assignable,Predicate negation also present,Question particle,Genitive,Nonverbal encoding,Different,None,Impossible
Occitan,Average,Isolating/concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,Core and non-core,No subject person/number marking,None,Sex-based,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique periphrastic associative plural,"No definite, but indefinite article",Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Three-way contrast,Different stem,Unrelated,"3rd person only, but also non-singular",Binary politeness distinction,Interrogative-based,Differentiated,Pronouns only,5 cases,In both plosives and fricatives,Syncretism in relevant NP-types,No case affixes or adpositional clitics,Identity,"First, second, three-th",Marked by mixed or other strategies,Optional,Formally different,No possessive affixes,Absent,No possessive classification,Missing /g/,Highly differentiated,Marked by preceding word,No action nominals,'And' different from 'with',Differentiation,No grammatical marking,No past tense,No inflectional future,No perfect,Tense-aspect suffixes,None,Second singular,SVO,VS,No dominant order,VOX,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Mixed,Adjective-Degree word,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,OV and RelN,VO and AdjN,Active-inactive,Nominative - accusative (standard),Neutral,Subject affixes on verb,No person marking,No person marking,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Both,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Compound but no morphological,Negative affix,Symmetric,A/Fin,Predicate negation also present,Interrogative intonation only,'Have',Nonverbal encoding,Identical,None,Impossible
Odia,Average,Ablaut/concatenative,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Full reduplication only,No case marking,Not syncretic,None,No gender,No gender,Plural word,"All nouns, always obligatory",Person-number stem + nominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one','We' the same as 'I',Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,3rd person singular only,Multiple politeness distinctions,Interrogative-based,Differentiated,No person marking,10 or more cases,In both plosives and fricatives,Symmetrical,No case affixes or adpositional clitics,Identity,"One-th, two-th, three-th",No distributive numerals,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Possessive-Accusative,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,VOX,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Final,Not initial interrogative phrase,Initial subordinator word,VO and Postpositions,VO and NRel,OV and AdjN,Nominative - accusative (standard),Neutral,Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P do not or do not both occur on the verb,Secondary-object construction,Mixed,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Interrogative word order,'Have',Verbal encoding,Identical,None,Impossible
