type,language1,language2,wals_dist
clauses,Adyghe,Finnish,0.5
clauses,Adyghe,French,0.25
clauses,Adyghe,Georgian,0.25
clauses,Adyghe,German,0
clauses,Adyghe,Greek,0.5
clauses,Adyghe,Greenlandic,0.75
clauses,Adyghe,Gujarati,1
clauses,Adyghe,Hausa,0.75
clauses,Adyghe,Hindi,0.5
clauses,Adyghe,Hungarian,0.25
clauses,Adyghe,Icelandic,0.25
clauses,Adyghe,Igbo,0.6666666666666666
clauses,Adyghe,Indonesian,0.75
clauses,Adyghe,Japanese,0.75
clauses,Adyghe,Kabardian,1
clauses,Adyghe,Kabyle,0.6666666666666666
clauses,Adyghe,Kannada,0.25
clauses,Adyghe,Kapampangan,1
clauses,Adyghe,Karakalpak,1
clauses,Adyghe,Kashmiri,1
clauses,Adyghe,Kazakh,1
clauses,Adyghe,Khmer,0.75
clauses,Adyghe,Korean,0.75
clauses,Adyghe,Lak,1
clauses,Adyghe,Lao,1
clauses,Adyghe,Latvian,0.25
clauses,Adyghe,Lezgian,0.75
clauses,Adyghe,Lingala,1
clauses,Adyghe,Lithuanian,0.25
clauses,Adyghe,Luganda,0
clauses,Adyghe,Malayalam,0.75
clauses,Adyghe,Maltese,0
clauses,Adyghe,Maori,0.5
clauses,Adyghe,Marathi,1
clauses,Adyghe,Navajo,1
clauses,Adyghe,Nepali,0.75
clauses,Adyghe,Ossetian,0
clauses,Adyghe,Papiamentu,1
clauses,Adyghe,Polish,0.25
clauses,Adyghe,Romani,0.3333333333333333
clauses,Adyghe,Romanian,0.5
clauses,Adyghe,Russian,0.25
clauses,Adyghe,Sakha,0.5
clauses,Adyghe,Samoan,0.6666666666666666
clauses,Adyghe,Shona,0.3333333333333333
clauses,Adyghe,Sinhalese,0.3333333333333333
clauses,Adyghe,Somali,0.5
clauses,Adyghe,Spanish,0.5
clauses,Adyghe,Sranan,1
clauses,Adyghe,Sundanese,0.6666666666666666
clauses,Adyghe,Swedish,0.25
clauses,Adyghe,Tahitian,0.25
clauses,Adyghe,Tamil,0.25
clauses,Adyghe,Telugu,0
clauses,Adyghe,Tetum,1
clauses,Adyghe,Thai,0.75
clauses,Adyghe,Tongan,0.6666666666666666
clauses,Adyghe,Turkish,0.5
clauses,Adyghe,Tuvan,1
clauses,Adyghe,Udmurt,1
clauses,Adyghe,Vietnamese,0.75
clauses,Adyghe,Welsh,0.6666666666666666
clauses,Adyghe,Wolof,1
clauses,Adyghe,Yoruba,1
clauses,Adyghe,Zulu,0.5
clauses,Afar,Abkhazian,0.6666666666666666
clauses,Afar,Acehnese,0
clauses,Afar,Afar,1
clauses,Afar,Akan,0
clauses,Afar,Amharic,0
clauses,Afar,Armenian,0.5
clauses,Afar,Basque,0.3333333333333333
clauses,Afar,Bhojpuri,1
clauses,Afar,Burmese,0.3333333333333333
clauses,Afar,Cantonese,0
clauses,Afar,Chamorro,0.3333333333333333
clauses,Afar,Chechen,0
clauses,Afar,Cherokee,0
clauses,Afar,Chichewa,0.5
clauses,Afar,Chinese,0.3333333333333333
clauses,Afar,Choctaw,0.5
clauses,Afar,Divehi,1
clauses,Afar,English,0.3333333333333333
clauses,Afar,Ewe,0.5
clauses,Afar,Fijian,0.6666666666666666
clauses,Afar,Finnish,0.6666666666666666
clauses,Afar,French,0.6666666666666666
clauses,Afar,Georgian,0.6666666666666666
clauses,Afar,German,0.6666666666666666
clauses,Afar,Greek,0.6666666666666666
clauses,Afar,Greenlandic,0
clauses,Afar,Hausa,0.3333333333333333
clauses,Afar,Hindi,0.6666666666666666
clauses,Afar,Hungarian,0.6666666666666666
clauses,Afar,Icelandic,0.5
clauses,Afar,Igbo,0.3333333333333333
clauses,Afar,Indonesian,0.3333333333333333
clauses,Afar,Ingush,0.6666666666666666
clauses,Afar,Japanese,0.6666666666666666
clauses,Afar,Kabardian,0
clauses,Afar,Kannada,1
clauses,Afar,Kapampangan,0
clauses,Afar,Kashmiri,0.6666666666666666
clauses,Afar,Khmer,0
clauses,Afar,Kikuyu,0
clauses,Afar,Kinyarwanda,0
clauses,Afar,Kirghiz,0.5
clauses,Afar,Korean,0.6666666666666666
clauses,Afar,Lak,0.3333333333333333
clauses,Afar,Latvian,0.6666666666666666
clauses,Afar,Lezgian,0.6666666666666666
clauses,Afar,Lingala,0.3333333333333333
clauses,Afar,Maithili,1
clauses,Afar,Malayalam,1
clauses,Afar,Maltese,1
clauses,Afar,Maori,0.6666666666666666
clauses,Afar,Marathi,1
clauses,Afar,Nepali,1
clauses,Afar,Russian,0.6666666666666666
clauses,Afar,Samoan,1
clauses,Afar,Sango,0.6666666666666666
clauses,Afar,Somali,0
clauses,Afar,Spanish,0.6666666666666666
clauses,Afar,Sundanese,0
clauses,Afar,Tamil,0.6666666666666666
clauses,Afar,Tetum,0
clauses,Afar,Thai,0.6666666666666666
clauses,Afar,Tigrinya,1
clauses,Afar,Turkish,0.6666666666666666
clauses,Afar,Udmurt,1
clauses,Afar,Ukrainian,0.5
clauses,Afar,Vietnamese,0.3333333333333333
clauses,Afar,Wolof,0
clauses,Afar,Yoruba,0.3333333333333333
clauses,Afar,Zulu,0.3333333333333333
clauses,Akan,Abkhazian,0.42857142857142855
clauses,Akan,Acehnese,0.5
clauses,Akan,Adyghe,0.6666666666666666
clauses,Akan,Afar,0
clauses,Akan,Akan,1
clauses,Akan,Amharic,0.2857142857142857
clauses,Akan,Arabic,1
clauses,Akan,Armenian,0.16666666666666666
clauses,Akan,Assamese,0.5
clauses,Akan,Avar,0.3333333333333333
clauses,Akan,Bambara,0.8
clauses,Akan,Bashkir,1
clauses,Akan,Basque,0.42857142857142855
clauses,Akan,Belarusian,0.5
clauses,Akan,Bengali,0
clauses,Akan,Bhojpuri,0.5
clauses,Akan,Breton,0.3333333333333333
clauses,Akan,Buginese,1
clauses,Akan,Bulgarian,0.4
clauses,Akan,Burmese,0.2857142857142857
clauses,Akan,Cantonese,0.3333333333333333
clauses,Akan,Catalan,0
clauses,Akan,Cebuano,0.75
clauses,Akan,Chamorro,0.5
clauses,Akan,Chechen,0.16666666666666666
clauses,Akan,Cherokee,0.8
clauses,Akan,Chichewa,1
clauses,Akan,Chinese,0.5714285714285714
clauses,Akan,Choctaw,0.7142857142857143
clauses,Akan,Chuvash,0.5
clauses,Akan,Cornish,0.5
clauses,Akan,Croatian,0.3333333333333333
clauses,Akan,Czech,0.16666666666666666
clauses,Akan,Danish,0
clauses,Akan,Divehi,0.6666666666666666
clauses,Akan,Dutch,0.16666666666666666
clauses,Akan,English,0.14285714285714285
clauses,Akan,Erzya,0.2
clauses,Akan,Estonian,0.4
clauses,Akan,Ewe,0.6666666666666666
clauses,Akan,Fijian,0.3333333333333333
clauses,Akan,Finnish,0.2857142857142857
clauses,Akan,French,0.3333333333333333
clauses,Akan,Georgian,0.14285714285714285
clauses,Akan,German,0
clauses,Akan,Greek,0.2857142857142857
clauses,Akan,Greenlandic,0.5714285714285714
clauses,Akan,Gujarati,0
clauses,Akan,Hausa,0.42857142857142855
clauses,Akan,Hawaiian,0
