language1,language2,dtw_dist
Alemannic,Turkish,1.2671873222693257
Alemannic,Kazakh,1.3912116948318962
Alemannic,Kirghiz,1.2511499816575187
Alemannic,Turkmen,0.8974755156215428
Alemannic,Persian,2.4008621792700127
Alemannic,Tajik,2.3275960844603305
Alemannic,Latin,1.8506957512573479
Alemannic,Galician,1.309591483435708
Alemannic,Romanian,1.0204580015958857
Alemannic,Norman,1.2918844237167981
Alemannic,Corsican,2.0057542686300915
Alemannic,Bengali,1.75432055027338
Alemannic,Waray,2.775995697555018
Alemannic,Welsh,1.2087635425133803
Alemannic,Armenian,2.097431096759223
Alemannic,Korean,1.9481547721852124
Alemannic,Assamese,1.6769566567944345
Alemannic,Bhojpuri,2.0844651111411703
Alemannic,Divehi,1.000541040521456
Alemannic,Catalan,1.6160301379193243
Alemannic,Walloon,0.9325786279955972
Alemannic,Yiddish,1.3044267650301613
Alemannic,Maltese,0.9131965769655865
Alemannic,Romansh,1.6925227986873521
Alemannic,Bavarian,0.6244966301889288
Alemannic,Faroese,1.2076118030260035
Alemannic,Ripuarian,0.5512831498170963
Alemannic,Luxembourgish,0.48315957626565353
Alemannic,Limburgish,1.588555923364007
Alemannic,Scots,0.7895796798922841
Alemannic,Zeelandic,1.4592612320544944
Alemannic,Aragonese,1.6457859170274705
Alemannic,Asturian,1.60931238956652
Alemannic,Emilian-Romagnol,1.9870065219317397
Alemannic,Extremaduran,1.4175244657402555
Alemannic,Franco-Provençal,1.7514018466499333
Alemannic,Friulian,1.5779078784660814
Alemannic,Ladino,1.8056468778675523
Alemannic,Lombard,2.224794766783256
Alemannic,Mirandese,1.8508967518171353
Alemannic,Neapolitan,3.5430010468270585
Alemannic,Occitan,2.3300702818378474
Alemannic,Picard,1.3055927826988203
Alemannic,Sardinian,2.0515933769809522
Alemannic,Sicilian,1.4102414372684597
Alemannic,Venetian,1.9174555849961217
Alemannic,Czech,0.5738563384150921
Alemannic,Rusyn,0.8870892121687275
Alemannic,Slovenian,0.9887067741139774
Alemannic,Uzbek,2.097145921139565
Alemannic,Amharic,3.3970263092773054
Alemannic,Zazaki,1.4189209764237312
Alemannic,Gilaki,1.8230718173457445
Alemannic,Mazandarani,1.4875697810745212
Alemannic,Ossetian,1.4060257101111873
Alemannic,Pashto,1.3426141594826264
Alemannic,Komi,1.5454813337991662
Alemannic,Vepsian,1.4059814272411169
Alemannic,Erzya,2.113297596393576
Alemannic,Konkani,1.2507848112358602
Alemannic,Odia,2.232613166018675
Alemannic,Maithili,2.3424994017083853
Alemannic,Sanskrit,2.6347883880043494
Alemannic,Sindhi,2.5371180961645416
Alemannic,Sinhalese,1.9353357841154635
Alemannic,Esperanto,1.50996320776522
Alemannic,Ido,1.5769956665298923
Alemannic,Lithuanian,1.1141758905066084
Alemannic,Latvian,0.8746051737502443
Alemannic,Kannada,0.44395464370767845
Alemannic,Malayalam,1.2384486199233287
Alemannic,Breton,1.525240991997435
Alemannic,Irish,0.8140891943595343
Alemannic,Manx,1.1265047857620325
Alemannic,Burmese,2.8512291184829652
Alemannic,Mingrelian,1.235755491264051
Alemannic,Lao,1.5366722744244559
Alemannic,Thai,3.5853670819962935
Alemannic,Lezgian,1.9677387562751916
Alemannic,Malagasy,1.64409671140828
Alemannic,Papiamentu,1.534488880005921
Alemannic,Albanian,2.506257747921096
Alemannic,Luganda,1.0535185970065526
Alemannic,Swahili,1.511861949107903
Alemannic,Tswana,1.2165464176492775
Alemannic,Tsonga,1.1873325506233985
Alemannic,Buryat,1.958155125452707
Alemannic,Samoan,1.7581427149018833
Alemannic,Tongan,0.5679813828622433
Alemannic,Nahuatl,0.7229122301806394
Alemannic,Somali,1.4311449680104613
Alemannic,Aymara,1.849100940382852
Alemannic,Guarani,1.2169784595875974
Alemannic,Kabyle,1.780460791230841
Alemannic,Hausa,1.36873248532935
Alemannic,Tetum,1.1919657486824478
Alemannic,Tulu,1.1787247005039418
Alemannic,Kabiye,1.8039730015014688
Alemannic,Maori,1.6335080245078224
