length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
7,7,2330,7.957114538842559,7.860665789219334,7.959952465244335,8.052460009407238,French,Parent,Unigram
5,1,12236,7.915802178993923,7.90405835191792,7.916212513503704,7.924312620440236,Chinese,Parent,Trigram
5,2,12236,1.8713209569434708,1.8596812594371435,1.8715113169841417,1.8832685085109107,Chinese,Parent,Trigram
5,3,12236,1.2132818217018766,1.1989954412509585,1.2125386999231338,1.2259577534539945,Chinese,Parent,Trigram
5,4,12236,1.1449058759091686,1.1334815865683963,1.144612503856099,1.1578875304413176,Chinese,Parent,Trigram
5,5,12236,1.060676512023755,1.0495107492085531,1.0606433451125028,1.072028599717953,Chinese,Parent,Trigram
6,1,9031,7.924511860856026,7.913729517439542,7.924709278803016,7.940979774706309,Chinese,Parent,Trigram
6,2,9031,1.890628041863085,1.8775928099254955,1.891443044375032,1.9044820978440606,Chinese,Parent,Trigram
6,3,9031,1.2287831665497788,1.2151821919188996,1.2289646791762363,1.2449678975189924,Chinese,Parent,Trigram
6,4,9031,1.1816945763445286,1.164441129564909,1.18078609007562,1.1970659895957527,Chinese,Parent,Trigram
6,5,9031,1.1042370288795231,1.0908787669460713,1.104593059944824,1.1178887715134795,Chinese,Parent,Trigram
6,6,9031,1.0434107720000498,1.0327235555473244,1.0437038414692934,1.0557209489571533,Chinese,Parent,Trigram
4,1,14203,7.941690965327614,7.931241434034911,7.941369301628699,7.951453393802234,Chinese,Parent,Trigram
4,2,14203,1.858567160031816,1.8460917582228547,1.859606170619381,1.869998306467828,Chinese,Parent,Trigram
4,3,14203,1.164261648153525,1.1486653567988765,1.1636609060900451,1.1772286743595006,Chinese,Parent,Trigram
4,4,14203,1.0748684726398965,1.0649411851857185,1.0750606834971552,1.0887074931724756,Chinese,Parent,Trigram
