length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
9,6,604,5.724318917931191,5.56120558163158,5.722891248715776,5.87950346131195,Spanish,Parent,Unigram
9,7,604,5.738721140784126,5.575580559003871,5.742464232785715,5.914237045171546,Spanish,Parent,Unigram
9,8,604,5.576639384826624,5.419759043083331,5.574416992283382,5.72284916810201,Spanish,Parent,Unigram
9,9,604,7.120343345970915,6.965889661754031,7.118233541985869,7.2801141377668035,Spanish,Parent,Unigram
7,1,1635,5.952348883238746,5.856918007832644,5.951559136557947,6.053654678529869,German,Child,Unigram
7,2,1635,6.17818290196647,6.0778146845100895,6.177165251771986,6.279508246853199,German,Child,Unigram
7,3,1635,6.217666857987722,6.11330851687791,6.219250422795294,6.327049712129377,German,Child,Unigram
7,4,1635,6.255208348774433,6.152087027813154,6.252979057890407,6.358153947341688,German,Child,Unigram
7,5,1635,6.360226718028995,6.253381363895589,6.355268238393941,6.457223982667281,German,Child,Unigram
7,6,1635,6.923714485523941,6.80681294777199,6.920806268945085,7.025753958626098,German,Child,Unigram
7,7,1635,7.669838763873482,7.549104915045384,7.667868664936375,7.782233734771332,German,Child,Unigram
5,1,2780,5.969547899246994,5.8899574500868015,5.970556783150298,6.051052965498029,German,Child,Unigram
5,2,2780,6.322816631260418,6.238080959483772,6.32399480233765,6.410985219686718,German,Child,Unigram
5,3,2780,6.061882387841523,5.984108099731918,6.057844904025706,6.133816460425132,German,Child,Unigram
5,4,2780,6.487810506048379,6.404815390254393,6.489825095684824,6.581809862249759,German,Child,Unigram
5,5,2780,7.700689843615847,7.613920531394124,7.700552333366011,7.7895052446349275,German,Child,Unigram
9,1,922,5.893302239563613,5.76441244706287,5.892131790408098,6.030162737240127,German,Child,Unigram
9,2,922,6.052920089318391,5.919607730646523,6.053363026972983,6.1917400676632655,German,Child,Unigram
9,3,922,6.184858673985614,6.054231685152715,6.181090487798572,6.309666244198354,German,Child,Unigram
9,4,922,6.414931162009517,6.288362787405196,6.41976052652689,6.562218554211669,German,Child,Unigram
9,5,922,6.322609094694923,6.186891845425915,6.32086164875141,6.4689601096934854,German,Child,Unigram
9,6,922,6.471575410685445,6.326463749590194,6.468778981648977,6.614604103644288,German,Child,Unigram
9,7,922,6.621525472861005,6.479090641821664,6.622140909187885,6.760032048880923,German,Child,Unigram
9,8,922,6.907911178939987,6.768409054700566,6.907464650970559,7.043515636571458,German,Child,Unigram
9,9,922,7.77030872754348,7.617088443126352,7.771525637029084,7.932310635662104,German,Child,Unigram
9,1,1170,5.666859667006609,5.566982241185055,5.667572502311625,5.767534890767409,German,Parent,Unigram
9,2,1170,6.245009778955087,6.136526780952841,6.24748847245736,6.372500065528143,German,Parent,Unigram
9,3,1170,6.04154294628938,5.927485527441308,6.042877957364238,6.157827277462007,German,Parent,Unigram
9,4,1170,6.423539380244302,6.29154774300326,6.4251615454583755,6.554013574363707,German,Parent,Unigram
9,5,1170,6.627977256592476,6.496048000507319,6.627197161861103,6.759064350218139,German,Parent,Unigram
9,6,1170,6.560037552648077,6.426068821819268,6.56310341607554,6.698473425435583,German,Parent,Unigram
9,7,1170,6.657882710476289,6.535098846350039,6.65634180093437,6.78263741605175,German,Parent,Unigram
9,8,1170,7.1242276894276015,6.979517250538713,7.120003065916885,7.264699734876311,German,Parent,Unigram
9,9,1170,7.953042691801755,7.815895522815715,7.955566943519241,8.103311030580553,German,Parent,Unigram
5,1,3818,5.788764731937169,5.729002120874565,5.789515396634997,5.852567555927265,German,Parent,Unigram
5,2,3818,6.3710542707257964,6.302873812349888,6.371344756761241,6.437158240052167,German,Parent,Unigram
5,3,3818,6.007809909197222,5.943047114398192,6.007204481667903,6.07023481054462,German,Parent,Unigram
5,4,3818,6.426720348945177,6.351891980397367,6.425710523927575,6.491545180471951,German,Parent,Unigram
5,5,3818,7.7961394381874625,7.7207659577637555,7.794835503209296,7.867225687769832,German,Parent,Unigram
7,1,2330,5.750575304963172,5.6694684143290655,5.748987137748303,5.825268571281652,German,Parent,Unigram
7,2,2330,6.3075111581140515,6.2234121145061705,6.306517404444876,6.390324548930422,German,Parent,Unigram
7,3,2330,6.1092129969678295,6.019852825219028,6.108197751504213,6.200553990086149,German,Parent,Unigram
7,4,2330,6.196802090795642,6.1109707995753215,6.1957457351734915,6.28568008725523,German,Parent,Unigram
7,5,2330,6.409700569263529,6.325294684374387,6.409270732997704,6.4967484729683775,German,Parent,Unigram
