language1,language2,wals_dist
Afrikaans,Sicilian,53
Afrikaans,Silesian,57
Afrikaans,Sindhi,50
Afrikaans,Sinhalese,58
Afrikaans,Slovak,54
Afrikaans,Slovenian,58
Afrikaans,Somali,50
Afrikaans,Spanish,51
Afrikaans,Sundanese,51
Afrikaans,Swahili,51
Afrikaans,Swedish,66
Afrikaans,Tajik,58
Afrikaans,Tamil,62
Afrikaans,Tatar,53
Afrikaans,Telugu,60
Afrikaans,Tetum,52
Afrikaans,Thai,54
Afrikaans,Tongan,55
Afrikaans,Tsonga,50
Afrikaans,Tswana,54
Afrikaans,Tulu,63
Afrikaans,Turkish,56
Afrikaans,Turkmen,55
Afrikaans,Ukrainian,54
Afrikaans,Urdu,51
Afrikaans,Uyghur,62
Afrikaans,Uzbek,60
Afrikaans,Venetian,65
Afrikaans,Vepsian,53
Afrikaans,Vietnamese,49
Afrikaans,Walloon,55
Afrikaans,Waray,54
Afrikaans,Welsh,49
Afrikaans,Wolof,55
Afrikaans,Wu,49
Afrikaans,Yiddish,46
Afrikaans,Yoruba,45
Afrikaans,Zazaki,53
Afrikaans,Zeelandic,55
Albanian,Acehnese,46
Albanian,Afrikaans,57
Albanian,Albanian,110
Albanian,Alemannic,55
Albanian,Amharic,37
Albanian,Anglo-Saxon,56
Albanian,Arabic,44
Albanian,Aragonese,53
Albanian,Armenian,45
Albanian,Assamese,51
Albanian,Asturian,55
Albanian,Aymara,47
Albanian,Azerbaijani,54
Albanian,Bashkir,57
Albanian,Basque,46
Albanian,Bavarian,45
Albanian,Belarusian,51
Albanian,Bengali,49
Albanian,Bhojpuri,51
Albanian,Bosnian,52
Albanian,Breton,50
Albanian,Bulgarian,59
Albanian,Burmese,46
Albanian,Buryat,54
Albanian,Catalan,52
Albanian,Chavacano,50
Albanian,Chinese,42
Albanian,Chuvash,53
Albanian,Corsican,61
Albanian,Croatian,50
Albanian,Czech,54
Albanian,Danish,50
Albanian,Divehi,47
Albanian,Dutch,51
Albanian,Emilian-Romagnol,46
Albanian,English,51
Albanian,Erzya,56
Albanian,Esperanto,45
Albanian,Estonian,55
Albanian,Extremaduran,50
Albanian,Faroese,55
Albanian,Finnish,55
Albanian,Franco-Provençal,52
Albanian,French,46
Albanian,Friulian,51
Albanian,Gagauz,49
Albanian,Galician,50
Albanian,Georgian,47
Albanian,German,47
Albanian,Gilaki,56
Albanian,Greek,53
Albanian,Guarani,58
Albanian,Gujarati,56
Albanian,Hakka,47
Albanian,Hausa,44
Albanian,Hebrew,47
Albanian,Hindi,47
Albanian,Hungarian,51
Albanian,Icelandic,52
Albanian,Ido,54
Albanian,Indonesian,51
Albanian,Interlingua,51
Albanian,Interlingue,55
Albanian,Irish,55
Albanian,Japanese,51
Albanian,Javanese,49
Albanian,Kabiye,52
Albanian,Kabyle,67
Albanian,Kannada,53
Albanian,Kapampangan,54
Albanian,Karachay-Balkar,54
Albanian,Kazakh,55
Albanian,Khmer,51
Albanian,Kirghiz,51
Albanian,Komi,46
Albanian,Konkani,46
Albanian,Korean,53
Albanian,Ladino,49
Albanian,Lao,49
Albanian,Latin,50
