length,position,n,empirical_stat,ci_lower,mean,ci_upper,gram
30,29,8000,7.210629714153845,7.139806491707928,7.209957886181116,7.279359481919304,Unigram
30,30,8000,9.499437620028637,9.453594323371211,9.498430739183277,9.539968034814327,Unigram
10,1,192487,2.527785961840396,2.5221116261834515,2.5277286715138447,2.5330102381581283,Trigram
10,2,192487,2.1100248664906602,2.1048702977012117,2.1102009592751476,2.1141094477331572,Trigram
10,3,192487,1.691297080005797,1.6867911089310579,1.691271993001999,1.697194389607315,Trigram
10,4,192487,1.7138352821998264,1.7083645228411575,1.714049712772511,1.718697960871061,Trigram
10,5,192487,1.75048330435769,1.7463085532625957,1.7508432852821136,1.7558198081321887,Trigram
10,6,192487,1.764519255909673,1.7586278316122308,1.7646674668367097,1.7698539441469188,Trigram
10,7,192487,1.7908090741883567,1.7856565949745131,1.7905821259283716,1.7956823104072417,Trigram
10,8,192487,1.7527680536291932,1.7475616373632552,1.7528443486999545,1.758297580545789,Trigram
10,9,192487,1.7394461715468572,1.7355419997283652,1.7394663106332868,1.7440750505539855,Trigram
10,10,192487,2.0443171911921314,2.040001772959142,2.044208541898856,2.0483890655968944,Trigram
20,1,145321,2.522270048360517,2.5145142554515756,2.521662764324308,2.5287743002460727,Trigram
20,2,145321,2.244363340106847,2.236131156643318,2.2446828427231806,2.2530202048111816,Trigram
20,3,145321,1.746521191919829,1.7398538654365847,1.7463140602722493,1.7520280605366279,Trigram
20,4,145321,1.6919851616051529,1.6866430424157755,1.6918738022562194,1.6966297658575908,Trigram
20,5,145321,1.7515853321483945,1.746107290283888,1.7512021449365247,1.7561318036383966,Trigram
20,6,145321,1.7531696804873065,1.7470159642668701,1.7532197612102596,1.758678047245017,Trigram
20,7,145321,1.7722975671114574,1.7656844824311977,1.7725694165195278,1.7779012384504562,Trigram
20,8,145321,1.7655279540602842,1.7587633081757041,1.7649804083842322,1.770691229613707,Trigram
20,9,145321,1.7711509314256755,1.7649120850410833,1.770908154669087,1.7756402076626565,Trigram
20,10,145321,1.7763231149460272,1.77102114966504,1.7763532458782416,1.7816811812322573,Trigram
20,11,145321,1.7709628657771774,1.7664141469406809,1.7710489681406398,1.7770713775733347,Trigram
20,12,145321,1.7726805471614184,1.765504917984196,1.772601197053716,1.7779154120098135,Trigram
20,13,145321,1.7688165789584165,1.7636009129023993,1.7691932568936086,1.775324919844544,Trigram
20,14,145321,1.7762212853013635,1.7696753134054144,1.7759306991995523,1.7819180570244884,Trigram
20,15,145321,1.766601824584725,1.7601776904236002,1.7663318826859382,1.772659779330303,Trigram
20,16,145321,1.7756069161607928,1.7706598091778953,1.7757442187092511,1.780580345615903,Trigram
20,17,145321,1.7915291337939816,1.7856735205534828,1.7912955083651712,1.7971768837351099,Trigram
20,18,145321,1.7079285062488736,1.7014829475981503,1.7070750811174311,1.7128174141622683,Trigram
20,19,145321,1.773847722507465,1.7676514678438435,1.7735824176288515,1.7805339401192926,Trigram
20,20,145321,2.0525173276775415,2.0469081553260806,2.0524646498768924,2.0579702390233994,Trigram
30,1,77721,2.5116020252273894,2.504366662361991,2.511867163525323,2.5208245385729002,Trigram
30,2,77721,2.2569569328122356,2.2498660407499216,2.257374197257467,2.2645897267972064,Trigram
30,3,77721,1.7654054743041023,1.757875694312861,1.765451587046342,1.774076342867071,Trigram
