language1,language2,cosine,gram
Wolof,Croatian,0.7603146315435417,unigram
Wolof,Macedonian,0.8410452322306876,unigram
Wolof,Serbo-Croatian,0.5417594337888876,unigram
Wolof,Pangasinan,-0.2381019678461994,unigram
Wolof,Kapampangan,0.6695396654926666,unigram
Wolof,Khmer,-0.26257688417098185,unigram
Wolof,Javanese,0.7664742100394029,unigram
Wolof,Malay,0.894052685094492,unigram
Wolof,Sundanese,0.4662245336924446,unigram
Wolof,Hakka,0.6687273297164842,unigram
Wolof,Turkish,0.9288813802868441,unigram
Wolof,Kazakh,0.3491481041319878,unigram
Wolof,Kirghiz,0.5150653568152351,unigram
Wolof,Turkmen,0.9122231208988486,unigram
Wolof,Persian,-0.15292573682228808,unigram
Wolof,Tajik,0.4046373014327154,unigram
Wolof,Latin,0.7644036740402105,unigram
Wolof,Galician,0.6313346212977842,unigram
Wolof,Romanian,0.7928269919657576,unigram
Wolof,Norman,0.4956562773411153,unigram
Wolof,Corsican,0.6094054093278265,unigram
Wolof,Bengali,0.709392836683927,unigram
Wolof,Waray,-0.014077355062576683,unigram
Wolof,Welsh,0.7155599242993994,unigram
Wolof,Armenian,-0.022926421488908628,unigram
Wolof,Korean,0.19096733512748504,unigram
Wolof,Assamese,-0.17007035624755798,unigram
Wolof,Bhojpuri,-0.14650736033139797,unigram
Wolof,Divehi,0.04791946731055158,unigram
Wolof,Kabiye,0.16949450866872662,unigram
Wolof,Catalan,0.7183955976773256,unigram
Wolof,Walloon,0.707430500641039,unigram
Wolof,Yiddish,0.6202131401769699,unigram
Wolof,Maltese,0.9083025490270006,unigram
Wolof,Romansh,0.6483374408264384,unigram
Wolof,Bavarian,0.3079984377045272,unigram
Wolof,Faroese,0.8119684342225038,unigram
Wolof,Ripuarian,0.6117335402231739,unigram
Wolof,Luxembourgish,0.7852505757363636,unigram
Wolof,Limburgish,0.5800435511444585,unigram
Wolof,Scots,0.7623234093006647,unigram
Wolof,Zeelandic,0.683955094746422,unigram
Wolof,Aragonese,0.6778728957000286,unigram
Wolof,Asturian,0.7725160556908856,unigram
Wolof,Emilian-Romagnol,0.554122183608879,unigram
Wolof,Extremaduran,0.6277600621745375,unigram
Wolof,Franco-Provençal,0.6313145623949703,unigram
Wolof,Friulian,0.5867790091903106,unigram
Wolof,Ladino,0.6312246051153836,unigram
Wolof,Lombard,0.6544929937124355,unigram
Wolof,Mirandese,0.68394911641433,unigram
Wolof,Neapolitan,0.7420840368925968,unigram
Wolof,Occitan,0.7017388176851398,unigram
Wolof,Picard,0.6841630904619738,unigram
Wolof,Sardinian,0.6349475226791284,unigram
Wolof,Sicilian,0.5804004348998272,unigram
Wolof,Venetian,0.5953831711559799,unigram
Wolof,Czech,0.6404552593357558,unigram
Wolof,Rusyn,0.8236755750235283,unigram
Wolof,Slovenian,0.8334086591146361,unigram
Wolof,Uzbek,0.019437861584661542,unigram
Wolof,Amharic,-0.3865000116156991,unigram
Wolof,Zazaki,0.8237455560009642,unigram
Wolof,Gilaki,0.4874913556307727,unigram
Wolof,Mazandarani,-0.015953720242471988,unigram
Wolof,Ossetian,0.7742274597628123,unigram
Wolof,Pashto,-0.018369638325492182,unigram
Wolof,Komi,0.5973313931667004,unigram
Wolof,Vepsian,0.6885429415781856,unigram
Wolof,Erzya,-0.07884327092811831,unigram
Wolof,Konkani,-0.2660969198298481,unigram
Wolof,Odia,-0.30056543027153043,unigram
Wolof,Maithili,0.33659374880533616,unigram
Wolof,Sanskrit,-0.19627600158828962,unigram
Wolof,Sindhi,-0.43440060976829525,unigram
Wolof,Sinhalese,-0.38013586210307543,unigram
Wolof,Esperanto,0.6018552127732294,unigram
Wolof,Ido,0.3373277830701229,unigram
Wolof,Lithuanian,0.8698154199289129,unigram
Wolof,Latvian,0.7677988967918402,unigram
Wolof,Kannada,0.7549828623311386,unigram
Wolof,Malayalam,0.6616561467148935,unigram
Wolof,Breton,0.809034986943582,unigram
Wolof,Irish,0.6689803784448749,unigram
Wolof,Manx,0.27092750522603426,unigram
Wolof,Burmese,0.15615757069648817,unigram
Wolof,Mingrelian,0.7987724364594794,unigram
Wolof,Lao,0.5625680948203997,unigram
Wolof,Thai,-0.8116580235832007,unigram
Wolof,Lezgian,0.16852564209175083,unigram
Wolof,Malagasy,0.45828114529853425,unigram
Wolof,Papiamentu,0.8316071762149396,unigram
Wolof,Albanian,0.8286157614031946,unigram
Wolof,Luganda,0.8005040324282767,unigram
Wolof,Swahili,0.6881231253472262,unigram
Wolof,Tswana,0.7092535667524811,unigram
Wolof,Tsonga,0.7148438608860602,unigram
Wolof,Buryat,-0.1281117527164097,unigram
Wolof,Samoan,0.45125086397726166,unigram
Wolof,Tongan,0.48125589388788925,unigram
Wolof,Nahuatl,0.8226780365252178,unigram
Wolof,Somali,0.8395713406744332,unigram
Wolof,Aymara,0.5882347166253855,unigram
Wolof,Guarani,0.8256093164821857,unigram
Wolof,Kabyle,0.7777398987409189,unigram
Wolof,Hausa,0.8357575404141385,unigram
Wolof,Tetum,0.5946533568876963,unigram
Wolof,Tulu,0.4436909777851754,unigram
Wolof,Maori,0.36718879116971587,unigram
Wolof,Nepali,0.5208036245465768,unigram
Wolof,Mongolian,0.058392159075472364,unigram
Wolof,Hindi,-0.10493194615822612,unigram
Wolof,Danish,0.7996822769670776,unigram
Wolof,Hebrew,0.9291725271669238,unigram
Wolof,Indonesian,0.8242870209455486,unigram
Wolof,Serbian,0.8365359335378824,unigram
Wolof,Ukrainian,0.7640929494808214,unigram
Wolof,Russian,0.8717247796560238,unigram
Wolof,German,0.6098507065279805,unigram
Wolof,Japanese,-0.19141280355915596,unigram
Wolof,Arabic,0.3228857117733056,unigram
Bosnian,Alemannic,0.774324601624095,unigram
Bosnian,Wolof,0.8306206244457818,unigram
Bosnian,Bosnian,1,unigram
Bosnian,Urdu,0.29528105151436723,unigram
Bosnian,Afrikaans,0.7868407277451475,unigram
Bosnian,Anglo-Saxon,0.6853885980699886,unigram
Bosnian,Silesian,0.6205612842856348,unigram
Bosnian,Acehnese,0.6181177504514287,unigram
Bosnian,Wu,0.2884083534510367,unigram
Bosnian,Chuvash,0.03896304191504447,unigram
Bosnian,Gagauz,0.7177617188411768,unigram
Bosnian,Karachay-Balkar,0.6251657388304191,unigram
Bosnian,Sakha,0.8721438743403882,unigram
Bosnian,Basque,0.22528489466866314,unigram
Bosnian,Slovak,0.8124404561526484,unigram
Bosnian,Bashkir,0.3986365498153598,unigram
Bosnian,Tamil,0.8128716412517905,unigram
Bosnian,Telugu,-0.04440333203457722,unigram
Bosnian,Georgian,0.8642698148337156,unigram
Bosnian,Tatar,0.38146270988762065,unigram
Bosnian,Uyghur,0.551926584554797,unigram
Bosnian,Icelandic,0.6450956191861024,unigram
Bosnian,Belarusian,0.6879693198534615,unigram
Bosnian,Gujarati,-0.7335796733057498,unigram
Bosnian,Marathi,-0.6289780199309688,unigram
Bosnian,Estonian,0.8757405795101726,unigram
Bosnian,Finnish,0.7870856885408819,unigram
Bosnian,Hungarian,0.4928033880926289,unigram
Bosnian,Bulgarian,0.7826556084303716,unigram
Bosnian,Yoruba,0.5342330741005906,unigram
Bosnian,Quechua,0.5053688766569863,unigram
Bosnian,Croatian,0.8261293489034996,unigram
Bosnian,Macedonian,0.8698327104534298,unigram
Bosnian,Serbo-Croatian,0.6549527214805382,unigram
Bosnian,Pangasinan,-0.36789591219825984,unigram
Bosnian,Kapampangan,0.5416702638945614,unigram
Bosnian,Khmer,-0.43366704940465883,unigram
Bosnian,Javanese,0.6628101851279583,unigram
Bosnian,Malay,0.7621114702134419,unigram
Bosnian,Sundanese,0.6477796351762696,unigram
Bosnian,Hakka,0.6110479521163311,unigram
Bosnian,Turkish,0.8436342171818328,unigram
Bosnian,Kazakh,0.2903204771687356,unigram
Bosnian,Kirghiz,0.24384924426977356,unigram
Bosnian,Turkmen,0.9487374181932765,unigram
Bosnian,Persian,-0.04945238161783819,unigram
Bosnian,Tajik,0.3307010594878649,unigram
Bosnian,Latin,0.4595687287030504,unigram
Bosnian,Galician,0.4788311021575536,unigram
Bosnian,Romanian,0.768275150901239,unigram
Bosnian,Norman,0.428974581908217,unigram
Bosnian,Corsican,0.5739782553467013,unigram
Bosnian,Bengali,0.5472556017633099,unigram
Bosnian,Waray,0.1259646604392938,unigram
Bosnian,Welsh,0.715863065392142,unigram
Bosnian,Armenian,-0.004261453743616,unigram
Bosnian,Korean,0.07873188807075797,unigram
Bosnian,Assamese,-0.03793850858025059,unigram
Bosnian,Bhojpuri,-0.2471467368372662,unigram
Bosnian,Divehi,0.5051332336057787,unigram
Bosnian,Kabiye,0.09357856145844408,unigram
Bosnian,Catalan,0.6424360995259322,unigram
Bosnian,Walloon,0.6556665532977767,unigram
Bosnian,Yiddish,0.6591275841136677,unigram
Bosnian,Maltese,0.8854218306597539,unigram
Bosnian,Romansh,0.6154987657856763,unigram
Bosnian,Bavarian,0.45521435903085117,unigram
