language,gram,slope1,slope2,slope3,slope4,slope5
Emilian-Romagnol,Trigram,-0.94938996707336,-0.03937700024755754,-0.06307136989557272,-0.14483806661636608,-0.20657168667611178
English,Trigram,-1.0521375264048392,-0.04153780002658014,-0.03477267418753119,-0.27634659356620545,-0.4258829036879696
Erzya,Unigram,0.020648240000000002,0.013948706,-0.037361283,-0.005697735,0.020598899
Erzya,Trigram,-0.6257192045634189,-0.2524684960483012,0.059837383511037866,-0.2880072636701255,-0.47159944050984465
Esperanto,Unigram,0.052400731,-0.019056704,-0.023286786,-0.010188479,0.187804611
Esperanto,Trigram,-1.2400628556937565,0.11196483891809605,-0.009892298674618258,-0.11925425419095392,0.09559479309515467
Estonian,Unigram,0.043818097,0.001221645,-0.002272408,-0.021934757,0.117876522
Estonian,Trigram,-0.48468025000773507,0.15269354394182028,-0.09594968423627476,-0.1883146208187883,-0.3402518521491257
Extremaduran,Unigram,0.06662033,0.001586931,-0.00308115,-0.009061836,0.149055207
Extremaduran,Trigram,-1.0624098568097482,0.01922708654649452,-0.006337908572041508,-0.07493313839080874,-0.07813349491756405
Faroese,Unigram,0.010422603,0.003694348,0.002334777,-0.01387692,0.113081259
Faroese,Trigram,-0.8150306494583134,0.05327164838972409,-0.07799583018130458,-0.14288007128709454,-0.20174137975925394
Finnish,Unigram,0.017382227,8.21e-4,6e-4,-0.020380972,0.068746175
Finnish,Trigram,-0.8499908303101174,0.12098873522880045,-0.12944785001856138,-0.20459767710246782,-0.1931958200181818
Franco-Provençal,Unigram,-0.052244061,0.007662276,-0.02309822,-0.043843555,0.131044255
Franco-Provençal,Trigram,-0.9259321243969659,-0.08316305620716595,0.00889431617446546,-0.041753754424738845,0.058794174394284
French,Trigram,-1.269167061812432,0.03748615555091674,0.026769546418005472,-0.14915439667960362,-0.21411123921916955
Friulian,Unigram,0.068662082,0.00268504,-0.01937768,-0.003579903,0.17230175
Friulian,Trigram,-0.9581880652842177,0.08009731111887873,0.08544384835574581,-0.11138068142924248,-0.015530874069697274
Gagauz,Unigram,0.040362383,0.015604364,4.99e-4,-0.007511161,-0.011100557
Gagauz,Trigram,-0.25003156448277486,0.1141689713177767,-0.09744402770603755,-0.15882240283435478,-0.6744579501426132
Galician,Unigram,0.084174499,-0.016202731,-0.008104789,-0.006163985,0.162361962
Galician,Trigram,-1.2212481408671114,0.0841681504963209,-0.0317359051730911,-0.0911097104620867,-0.023264541312071292
Georgian,Unigram,0.070479683,0.001133462,6.73e-4,-0.015804449,0.069499059
Georgian,Trigram,0.5950928479826516,0.19977946150815942,-0.022793207922073212,-0.24020010825161234,-0.6477829167069018
German,Unigram,0.091563891,0.008135117,-0.009406772,-0.021186372,0.205973892
German,Trigram,-0.8333803039276183,0.08166418263394085,-0.03966490900818589,-0.07552695723018615,0.14513741640025307
Gilaki,Unigram,-0.062328979,0.008496591,-0.022705561,-0.0315513,0.021596098
Gilaki,Trigram,0.2053042648145905,-0.0016544187801974118,-0.062353165678219434,-0.05902225697162089,-0.4331604224905091
Greek,Unigram,0.120463626,-0.003164083,-0.009401428,-0.013395134,0.168914046
Greek,Trigram,-1.1521295266399725,0.02348972326633264,-0.03311274939233197,-0.10075002611841911,0.024422853186185044
Guarani,Unigram,0.023763124,-0.012654039,-0.004919151,-0.013799379,0.063538601
