value,gram
1.3722934530247688,unigram
1.4598683909810464,unigram
1.3002664713061405,unigram
2.6813100734708697,unigram
2.678107118108864,unigram
1.8798960933135045,unigram
1.4397575840353496,unigram
1.0132830035741467,unigram
3.042059560568467,unigram
2.852391935527252,unigram
1.4151409858894541,unigram
5.014721990762483,unigram
2.4208568559711314,unigram
1.9000820606949564,unigram
5.6836127406606,unigram
1.8925904680395176,unigram
2.945483432135343,unigram
1.3818211421451791,unigram
1.9111840864263505,unigram
3.1496553137789483,unigram
2.4590980799202677,unigram
0.9132443477798531,unigram
2.8254248150871155,unigram
0.9109703719393387,unigram
1.6238736485867222,unigram
1.101300480022458,unigram
0.9666463300865806,unigram
1.7216592791837786,unigram
1.836106436923929,unigram
3.199251039903358,unigram
3.49386636452725,unigram
1.7684671237126466,unigram
3.8488525619859906,unigram
2.2525404182888473,unigram
3.3969589667903124,unigram
2.899179078007195,unigram
3.6927780281379667,unigram
3.7810044280967534,unigram
2.361664183211648,unigram
3.7000929680846797,unigram
2.7796772651328547,unigram
2.2061355672091647,unigram
3.3348725968970747,unigram
2.2786119373754996,unigram
2.5208000574532123,unigram
1.2183050385332126,unigram
0.9603674906527404,unigram
1.2356899344273322,unigram
2.5066231562527848,unigram
3.3177137688793743,unigram
1.3865698254036305,unigram
2.0854741741373446,unigram
3.0761060486105243,unigram
1.357303837324201,unigram
1.3268260270903625,unigram
1.6204151609710107,unigram
1.585962793832289,unigram
2.701016071913689,unigram
1.9658382927766689,unigram
2.656830971944377,unigram
2.8594994843475456,unigram
3.109101765888416,unigram
2.553378723594025,unigram
2.5871505037287004,unigram
1.738534410516563,unigram
3.0485345145224203,unigram
1.51950111736081,unigram
1.0542326375655984,unigram
3.54696417015951,unigram
5.3441319243570415,unigram
2.045204772596512,unigram
2.319063391185614,unigram
2.8845035376210437,unigram
3.3699433758308905,unigram
1.410995373096363,unigram
1.7294215684816336,unigram
4.126661961209863,unigram
2.376399265091208,unigram
4.193300936055261,unigram
3.4220594481707436,unigram
2.8007227268284147,unigram
1.5157118225273636,unigram
2.0554973661434994,unigram
3.408239246585288,unigram
2.457324692597135,unigram
1.9686060463509998,unigram
5.540200226885359,unigram
6.272545855694586,unigram
1.3758815511079487,unigram
1.3139454874544492,unigram
3.7303697979776484,unigram
2.1019676706738375,unigram
2.3274591888708183,unigram
3.0724452392458863,unigram
3.366834523162336,unigram
2.0662817614764264,unigram
4.239051474216638,unigram
7.344223267464857,unigram
2.65873544442293,unigram
2.2963036023085603,unigram
1.9409812762626655,unigram
1.652746447761011,unigram
2.156382250201045,unigram
1.090542631481072,unigram
1.7120665757539397,unigram
1.1912463214425921,unigram
1.4977978376303303,unigram
0.5122232890128084,unigram
5.272075477472947,unigram
1.0668815491838384,unigram
3.156872934106993,unigram
4.159719688235413,unigram
1.4637923369977126,unigram
1.901917561999431,unigram
3.743217124733639,unigram
2.0290085098532704,unigram
1.9067373475197837,unigram
8.708620453368088,unigram
1.871684623392588,unigram
2.1562952547427483,unigram
2.484066027392389,unigram
2.9697601343884834,unigram
4.220043188578153,unigram
7.1240721537454945,unigram
4.219118561141084,unigram
6.737899599284502,unigram
2.236604810362269,unigram
8.129226242157287,unigram
3.1722939528634573,unigram
4.554168435114318,unigram
3.2442106532313053,unigram
3.8235351742744785,unigram
7.704694434278672,unigram
8.870790082989908,unigram
3.525967152312668,unigram
2.6685205141584993,unigram
1.562134669108561,unigram
1.837706465540188,unigram
4.545267310565632,unigram
2.2058821616576543,unigram
2.1306756420358806,unigram
2.2437720917738804,unigram
1.285355772299984,unigram
7.3682179238928205,unigram
2.9475215435551845,unigram
2.538073348562966,unigram
1.7561927684443677,unigram
1.9251029838972995,unigram
7.248807952402261,unigram
3.418085189512466,unigram
4.123241451598547,unigram
5.9028252215588655,unigram
1.9433309723141008,unigram
1.5767375024533403,unigram
3.7868696255536483,unigram
2.0481072118815726,unigram
2.8764917057053565,unigram
1.828336465145982,unigram
1.8867174195229013,unigram
3.8138257352468425,unigram
3.4441326574018585,unigram
1.3542615145186367,unigram
1.9992298644088042,unigram
11.591339829931757,unigram
2.495373311222459,unigram
1.1130817816710397,unigram
5.5620276494103384,unigram
2.16675686599049,unigram
1.5809510317021997,unigram
1.7358432865567686,unigram
3.5402919676244147,unigram
1.8430137371373037,unigram
2.196963971798936,unigram
2.0972784059782508,unigram
1.7886378780569459,unigram
2.0774418059774433,unigram
2.113109036859098,unigram
1.4925156372812736,unigram
1.5586805300994233,unigram
1.7181552268706324,unigram
2.1614647536404568,unigram
2.3113542343243516,unigram
1.6455372263775931,unigram
1.7223096178582669,unigram
1.8935695431176196,unigram
2.247580708981821,unigram
2.204643950378737,unigram
1.6121880189403934,unigram
3.153006337858653,unigram
1.9717078675025972,unigram
1.228235792094413,unigram
1.6278106400767922,unigram
1.5174487007014243,unigram
2.0049403773911325,unigram
5.488086860398233,unigram
3.1105035016779925,unigram
4.947353526671268,unigram
4.545159337870388,unigram
3.0900243944317993,unigram
2.928060263529282,unigram
1.6128010662451642,unigram
0.851928966177244,unigram
3.171263214925548,unigram
2.5591241588738796,unigram
2.7368492115793437,unigram
0.9199133579065926,unigram
1.45349034612792,unigram
6.366164082285655,unigram
2.118673259339739,unigram
1.6511953747407366,unigram
4.947237421539391,unigram
1.909368816230102,unigram
6.101383606203539,unigram
2.1660184181497026,unigram
2.27391051010936,unigram
6.020380107039373,unigram
5.346928926702384,unigram
9.482556759790427,unigram
11.000502527401906,unigram
1.86319493763509,unigram
1.6165540606291358,unigram
1.6474883375303087,unigram
6.083183369784909,unigram
4.027119912389284,unigram
5.752097981146615,unigram
4.149863130978354,unigram
2.1935641534398305,unigram
2.372225387117717,unigram
1.7248405654425443,unigram
2.404634743302714,unigram
1.024773939198357,unigram
1.7961580691798988,unigram
1.572925052751203,unigram
0.9910617840391391,unigram
3.2866185800983643,unigram
4.454819236649221,unigram
3.5389224972380173,unigram
1.3552528478838766,unigram
1.8340454012448273,unigram
1.2945351589452851,unigram
1.4737149280305002,unigram
1.8303384792234088,unigram
1.1865213805790393,unigram
0.9949534202158135,unigram
6.775904807957922,unigram
0.913572958150807,unigram
3.535428525548218,unigram
2.504963073754902,unigram
5.3058334923107076,unigram
3.82020502501909,unigram
2.8095471232826927,unigram
7.006153009573931,unigram
2.658715145941476,unigram
6.101373040221075,unigram
5.041315395466261,unigram
5.87052236474325,unigram
2.9957853832782937,unigram
8.645011170836518,unigram
1.8704847960615822,unigram
1.6846169943770812,unigram
2.5021253611499787,unigram
0.8488838969159267,unigram
0.617223704947873,unigram
3.2810782389363857,unigram
3.9849548706612605,unigram
3.813859802129656,unigram
1.9206402748890024,unigram
1.5004831646373384,unigram
1.2155211855455073,unigram
0.8434046817751724,unigram
0.8825359934160395,unigram
