sentence_length,word_position,H
25,24,6.836617241866014
25,25,8.685168020570698
26,1,5.503027514031839
26,2,7.133136200942413
26,3,7.0671583757166605
26,4,7.085220418127441
26,5,7.106155755988396
26,6,7.135230740657984
26,7,7.151318095139613
26,8,7.13510065647183
26,9,7.144251712241307
26,10,7.1355309162069664
26,11,7.13888260657633
26,12,7.119553479469981
26,13,7.090778512032754
26,14,7.12213207118409
26,15,7.088497033475646
26,16,7.104359042033943
26,17,7.087638713431512
26,18,7.085139736243589
26,19,7.06062276657685
26,20,7.085166618908992
26,21,7.019682954712636
26,22,7.08118179305254
26,23,7.1400617396564225
26,24,6.701212575748948
26,25,6.839471490653623
26,26,8.681268858384952
27,1,5.485365540359939
27,2,7.129155249300842
27,3,7.06427066285139
27,4,7.076601940577529
27,5,7.116617147734796
27,6,7.13895902227851
27,7,7.133406613671027
27,8,7.13431450579306
27,9,7.111375270537434
27,10,7.14478808053537
27,11,7.124600679178435
27,12,7.1283674478088646
27,13,7.107782240786721
27,14,7.082573869817651
27,15,7.111089455054272
27,16,7.071905178931813
27,17,7.081921276909944
27,18,7.06063326096727
27,19,7.060003773811235
27,20,7.0649914637673055
27,21,7.058698513298629
27,22,7.006730160557538
27,23,7.06892180622338
27,24,7.12360180987611
27,25,6.694086446849042
27,26,6.810086926210446
27,27,8.66983902329643
28,1,5.467296133101415
28,2,7.1068510264697435
28,3,7.039106991074509
28,4,7.06985843001724
28,5,7.091843991151293
28,6,7.1362075120340425
28,7,7.12152459734463
28,8,7.118829071281355
28,9,7.127428432389568
28,10,7.134734814703509
28,11,7.111168891273129
28,12,7.092602375785822
28,13,7.0895876053038975
28,14,7.0894985332146305
28,15,7.096313466822781
28,16,7.058222777537639
28,17,7.069039481427165
28,18,7.066305298862681
28,19,7.057711051765355
28,20,7.021383755548086
28,21,7.061357307136817
28,22,7.041993582024232
28,23,7.000408086650763
28,24,7.0401444096452295
28,25,7.105049291626356
28,26,6.689102418906321
28,27,6.806156275989822
28,28,8.664757705900744
29,1,5.450956999500687
29,2,7.0970433006540725
29,3,7.062065444042529
29,4,7.034120011508464
29,5,7.066674440386179
29,6,7.107263001984025
29,7,7.127697432269391
29,8,7.119436747135001
29,9,7.116705520367496
29,10,7.101305303457054
29,11,7.091281967594649
29,12,7.104432235130665
29,13,7.087160462681599
29,14,7.093461957850874
29,15,7.093175284948484
29,16,7.049461357152282
29,17,7.07574939718201
29,18,7.066174550385774
29,19,7.073397133969332
29,20,7.064450945310212
29,21,7.034608322226627
29,22,7.028043604575329
29,23,7.030129811560862
29,24,6.988727632115318
29,25,7.0385724501597675
29,26,7.099620844058028
29,27,6.661067001544848
29,28,6.809244317061946
29,29,8.635922544672043
30,1,5.432113495301148
30,2,7.076824472472477
30,3,7.057955842285327
30,4,7.024935951889811
30,5,7.065267138659413
30,6,7.0827240358080275
30,7,7.109490703035396
30,8,7.095109582002688
30,9,7.119706768626093
30,10,7.105796923568382
30,11,7.087324616355196
30,12,7.092211842355171
30,13,7.091512314192464
30,14,7.063575996135551
30,15,7.063104249028662
30,16,7.060026002950276
