language1,language2,cosine
Bosnian,Gilaki,0.9843092093552704
Bosnian,Mazandarani,0.9299975485866305
Bosnian,Ossetian,0.989391990358656
Bosnian,Pashto,0.8846568977358504
Bosnian,Komi,0.9807667420174695
Bosnian,Vepsian,0.9470264905916594
Bosnian,Erzya,0.975484412305953
Bosnian,Konkani,0.9547421823448716
Bosnian,Odia,0.933627122142262
Bosnian,Maithili,0.9996990365733724
Bosnian,Sanskrit,0.9960903728504261
Bosnian,Sindhi,0.9409698783015953
Bosnian,Sinhalese,0.920350658466718
Bosnian,Esperanto,0.8975920821730836
Bosnian,Ido,0.9797812469500476
Bosnian,Lithuanian,0.9446801673741838
Bosnian,Latvian,0.9527765957977296
Bosnian,Kannada,0.9255258800836917
Bosnian,Malayalam,0.963981928065818
Bosnian,Breton,0.9978458721714614
Bosnian,Irish,0.9993402641080309
Bosnian,Manx,0.9738479395840228
Bosnian,Burmese,0.9787130078489102
Bosnian,Mingrelian,0.975776225423269
Bosnian,Lao,0.9813187216260122
Bosnian,Thai,0.9281111280679627
Bosnian,Lezgian,0.9765931208403147
Bosnian,Malagasy,0.8724120936896149
Bosnian,Papiamentu,0.994205101501009
Bosnian,Albanian,0.9997708626203711
Bosnian,Luganda,0.9720849306309879
Bosnian,Swahili,0.9998572276459347
Bosnian,Tswana,0.9988860064301636
Bosnian,Tsonga,0.9931292264777148
Bosnian,Buryat,0.9782675127419477
Bosnian,Samoan,0.9251224422684099
Bosnian,Tongan,0.973969332119811
Bosnian,Nahuatl,0.9562303982817305
Bosnian,Somali,0.9961266139230442
Bosnian,Aymara,0.9848856818014663
Bosnian,Guarani,0.9860852845378885
Bosnian,Kabyle,0.9989296947583183
Bosnian,Hausa,0.999750774804049
Bosnian,Tetum,0.9563721032335933
Bosnian,Tulu,0.9622512760690488
Bosnian,Kabiye,0.9856002840361909
Bosnian,Maori,0.8687169120542101
Bosnian,Nepali,0.9859164954939573
Bosnian,Mongolian,0.9684680882662623
Bosnian,Hindi,0.9400572208635559
Bosnian,Danish,0.9967547242475345
Bosnian,Hebrew,0.9491314932944378
Bosnian,Indonesian,0.9504141116182256
Bosnian,Serbian,0.9608965196760803
Bosnian,Ukrainian,0.9388669089135291
Bosnian,Russian,0.9323567260575225
Bosnian,German,0.8404318611165115
Bosnian,Japanese,0.9750954669270095
Bosnian,Arabic,0.9468875623630282
Urdu,Basque,0.9823392405589044
Urdu,Alemannic,0.9491925276115379
Urdu,Wolof,0.9832671010554296
Urdu,Bosnian,0.983227097246391
Urdu,Urdu,1
Urdu,Afrikaans,0.9839961600369188
Urdu,Anglo-Saxon,0.9896354498683074
Urdu,Slovak,0.9819117157133153
Urdu,Silesian,0.9491742467880276
Urdu,Acehnese,0.9858955842359683
Urdu,Wu,0.9858196867426332
Urdu,Bashkir,0.970969698280127
Urdu,Chuvash,0.9790574356569565
Urdu,Gagauz,0.9918814718231299
Urdu,Karachay-Balkar,0.9849252621835572
Urdu,Sakha,0.974832155627712
Urdu,Tamil,0.9736449952236511
Urdu,Telugu,0.9789739686368849
Urdu,Georgian,0.9783957604528147
Urdu,Tatar,0.9880939001037324
Urdu,Uyghur,0.9754739643831414
Urdu,Icelandic,0.9927344762187383
Urdu,Belarusian,0.9410510705046313
Urdu,Gujarati,0.9536533403952053
Urdu,Marathi,0.963148162917549
Urdu,Estonian,0.9702577636654487
Urdu,Finnish,0.9813686665047635
Urdu,Hungarian,0.9785275201962671
Urdu,Bulgarian,0.9747457981987027
Urdu,Yoruba,0.9712693366246649
Urdu,Quechua,0.9746088173234917
Urdu,Croatian,0.9765732730513259
Urdu,Macedonian,0.9736729151597039
Urdu,Serbo-Croatian,0.9793763499159697
Urdu,Pangasinan,0.9479844694472104
Urdu,Kapampangan,0.9655907191906234
Urdu,Khmer,0.9870732809904749
Urdu,Javanese,0.9745040925577811
Urdu,Malay,0.9802805004507001
Urdu,Sundanese,0.9651532051176219
Urdu,Hakka,0.9741971925190337
Urdu,Turkish,0.9773747201090986
Urdu,Kazakh,0.9782848575096915
Urdu,Kirghiz,0.9778769154585532
Urdu,Turkmen,0.9773518445209178
