language,source,gram,family,1,2,3,4,5
Serbo-Croatian,wikipedia,unigram,NA,0.18429313996568508,-0.6206450933221808,-0.16489310705545002,0.4123994511263471,0.18884560928559901
Serbo-Croatian,wikipedia,trigram,NA,2.3773559381336593,-0.23052743889066463,-0.5534723221058261,-0.7310839817342265,-0.8622721954029424
Pangasinan,wikipedia,unigram,Austronesian,-0.4342053170839648,0.3443467493389001,0.44171563867325947,-0.38547293734608523,0.033615866417889606
Pangasinan,wikipedia,trigram,Austronesian,1.4460764957614778,-0.3730007637106455,-0.1804586657698708,-0.27453383238651474,-0.6180832338944469
Kapampangan,wikipedia,unigram,Austronesian,0.04670045920948285,-0.055700897189634446,-0.33506416366976666,-0.20445951388054917,0.5485241155304683
Kapampangan,wikipedia,trigram,Austronesian,1.370907918535458,0.11739171714287555,-0.45090314845502033,-0.6417239438541208,-0.3956725433691921
Khmer,wikipedia,unigram,Austro-Asiatic,0.14073767252246316,0.05235405579270935,-0.11279507111645692,-0.10616647040446914,0.02586981320575532
Khmer,wikipedia,trigram,Austro-Asiatic,2.1471283053890535,-0.15791863726528121,-0.7137240863730417,-0.6612918167560131,-0.614193764994717
Javanese,wikipedia,unigram,Austronesian,0.25591773813002705,-0.2762036208805885,-0.09821895496715527,-0.16826228961485823,0.28676712733257537
Javanese,wikipedia,trigram,Austronesian,2.020875254891367,-0.17973102075493808,-0.629052613760166,-0.48562509067162396,-0.7264665297046389
Malay,wikipedia,unigram,NA,0.09490059177932686,-0.17748240879584998,-0.12391141262736749,-0.08419148537529608,0.29068471501918713
Malay,wikipedia,trigram,NA,1.876699086239559,-0.03332237262903859,-0.6798690939885546,-0.6133635497595171,-0.5501440698624491
Sundanese,wikipedia,unigram,Austronesian,0.24789749351809265,-0.15856398932935845,-0.5891292567518902,0.09327210139015518,0.4065236511730004
Sundanese,wikipedia,trigram,Austronesian,1.9242930289325078,-0.011342590768222749,-1.006433949406026,-0.5702462154755015,-0.3362702732827578
Hakka,wikipedia,unigram,Sino-Tibetan,0.7128427922263598,-0.4994212559587923,-0.2593185430642584,-0.12746472229065597,0.17336172908734593
Hakka,wikipedia,trigram,Sino-Tibetan,2.236083345710319,-0.713262747459943,-0.5441244726740073,-0.4126095842461379,-0.5660865413302312
Turkish,wikipedia,unigram,Altaic,0.11915494575224628,-0.19106755507984197,-0.14504598265344004,-0.06343449361386888,0.2803930855949046
Turkish,wikipedia,trigram,Altaic,2.397689661158907,-0.0640764805528844,-0.7397193697376159,-0.7705419632773951,-0.8233518475910117
Kazakh,wikipedia,unigram,Altaic,0.21612848608592605,-0.09425816091107597,0.041565949309946504,-0.33118034068817703,0.16774406620338
Kazakh,wikipedia,trigram,Altaic,2.3282526693877212,-0.16747654560703773,-0.6081708091382029,-0.7094661859910428,-0.8431391286514383
