position,length,speaker,language,n,empirical_stat,ci_lower,mean,ci_upper
1,4,Adult,French,5545,7.0182163163710545,7.002151193081311,7.016984706359258,7.029686759926372
2,4,Adult,French,5545,1.816927421748692,1.7946132998320303,1.8162613056267136,1.8379460853107132
3,4,Adult,French,5545,1.2925077100397768,1.2732269693173408,1.2926451902011151,1.3135136227053064
4,4,Adult,French,5545,1.5984868431005315,1.562476369714393,1.5980795050084429,1.632392451080575
1,7,Adult,French,3190,7.0153521204443186,6.996506660724508,7.0141276060540845,7.033288983513943
2,7,Adult,French,3190,1.824288503951787,1.7922206967863543,1.827143371295032,1.8582188361715
3,7,Adult,French,3190,1.3784591285412588,1.3516513362909932,1.37844887417013,1.4069448594800358
4,7,Adult,French,3190,1.3035649079887845,1.2697389378069337,1.3052903800571227,1.3394876219542424
5,7,Adult,French,3190,1.2768220220613629,1.2482570352898121,1.2765369065480545,1.308626802296474
6,7,Adult,French,3190,1.2264775364376534,1.193838961343033,1.2260480614635265,1.2536595224306502
7,7,Adult,French,3190,1.5971805754126427,1.5528976401752066,1.5997454973201393,1.6522164269394262
1,3,Adult,French,5525,7.040144583326659,7.028253252383271,7.041690642447493,7.053678596164307
2,3,Adult,French,5525,1.826558623076564,1.8052058030318352,1.8257126370486092,1.8458213163716761
3,3,Adult,French,5525,1.6032240142218128,1.5683648901147542,1.6066959744483638,1.6424131573875564
1,9,Adult,French,1657,7.013616861747415,6.990109590168955,7.0152003539119345,7.040838166612707
2,9,Adult,French,1657,1.8626673887778853,1.8210703942742632,1.859482469365909,1.9038175240509756
3,9,Adult,French,1657,1.3753430005938587,1.330446976937655,1.3760721564695788,1.4283048444256123
4,9,Adult,French,1657,1.3032924012383857,1.2589376041489189,1.3053451194458146,1.3552877747156424
5,9,Adult,French,1657,1.2715553179805943,1.2287053943291872,1.2683836330875404,1.3105251771790765
6,9,Adult,French,1657,1.3016774834245532,1.2606790430623507,1.3038248623316735,1.349994475250152
7,9,Adult,French,1657,1.2569745022918204,1.226062522243144,1.2610782911335767,1.3057772055654981
8,9,Adult,French,1657,1.1394700641436395,1.0915588962902272,1.1387500989473074,1.1779825988597155
9,9,Adult,French,1657,1.5730818444587555,1.5125291906463574,1.5684529165784207,1.6309751471627094
1,8,Adult,French,2332,7.0226509896191684,6.993458534519014,7.022516728801138,7.04458908674852
2,8,Adult,French,2332,1.8216391053453318,1.7878092592054944,1.8226617416959274,1.856247295538925
3,8,Adult,French,2332,1.3246724261018874,1.2821550735069587,1.3226386059312019,1.3646238528588213
4,8,Adult,French,2332,1.2814318240200062,1.2432578217794106,1.282064745947591,1.3169116866067179
5,8,Adult,French,2332,1.3065321415816122,1.2767787723276465,1.306963331765826,1.345778997840542
6,8,Adult,French,2332,1.2675112215977795,1.2210443373251942,1.2687787176098668,1.3031843320455396
7,8,Adult,French,2332,1.1393961891097433,1.1087367698090156,1.1378123482985112,1.1668542486776823
8,8,Adult,French,2332,1.5664336855170249,1.5096202551296196,1.5686192779455135,1.6139294265294974
1,3,Child,French,19296,7.532942252718592,7.524889168783924,7.533453059582716,7.542305177411876
2,3,Child,French,19296,1.8366343975314257,1.8258946095421837,1.8363166977116718,1.8473618652665396
3,3,Child,French,19296,1.5992925191671892,1.5816430240199217,1.5971715556774566,1.6133345232297285
1,4,Child,French,17725,7.493375267545326,7.482227858030241,7.492452385551065,7.503201921249815
2,4,Child,French,17725,1.8877403590171393,1.8768493073635613,1.8877708318395574,1.8989095320708325
3,4,Child,French,17725,1.2685746659815564,1.2567400369627353,1.2685429687728667,1.2813198387474873
4,4,Child,French,17725,1.5257678659678515,1.5072391781157937,1.5248314591238294,1.5410340624928307
1,5,Child,French,14691,7.48933109339015,7.476977273514091,7.4895121439465155,7.5004295197762385
2,5,Child,French,14691,1.8091079099306036,1.7943185409680988,1.8073754141795026,1.8190631335518925
3,5,Child,French,14691,1.3828413315103667,1.3671671060413542,1.3836041568088513,1.3977590508806186
4,5,Child,French,14691,1.1921334190711406,1.1805444513734695,1.192005668926674,1.2041804266466065
