position,length,speaker,n,empirical_stat,ci_lower,mean,ci_upper,language
2,6,Adult,9031,1.890628041863085,1.8775928099254955,1.891443044375032,1.9044820978440606,Chinese
3,6,Adult,9031,1.2287831665497788,1.2151821919188996,1.2289646791762363,1.2449678975189924,Chinese
4,6,Adult,9031,1.1816945763445286,1.164441129564909,1.18078609007562,1.1970659895957527,Chinese
5,6,Adult,9031,1.1042370288795231,1.0908787669460713,1.104593059944824,1.1178887715134795,Chinese
6,6,Adult,9031,1.0434107720000498,1.0327235555473244,1.0437038414692934,1.0557209489571533,Chinese
1,4,Adult,14203,7.941690965327614,7.931241434034911,7.941369301628699,7.951453393802234,Chinese
2,4,Adult,14203,1.858567160031816,1.8460917582228547,1.859606170619381,1.869998306467828,Chinese
3,4,Adult,14203,1.164261648153525,1.1486653567988765,1.1636609060900451,1.1772286743595006,Chinese
4,4,Adult,14203,1.0748684726398965,1.0649411851857185,1.0750606834971552,1.0887074931724756,Chinese
1,3,Adult,14203,7.964301899857129,7.955118459445913,7.963682599971809,7.972422426578522,Chinese
2,3,Adult,14203,1.8107491782758551,1.797093126159952,1.8109601033124203,1.8217204352806027,Chinese
3,3,Adult,14203,1.0543914913065222,1.0408684435204991,1.0540510711572224,1.0665988773046677,Chinese
1,8,Adult,4438,7.905938754483567,7.889027848067505,7.904674905066342,7.924346917856916,Chinese
2,8,Adult,4438,1.8878580334488473,1.867417387674391,1.887730710651489,1.9071537274909267,Chinese
3,8,Adult,4438,1.2661606964091559,1.2427185900015787,1.266864646180571,1.2856897236904403,Chinese
4,8,Adult,4438,1.167586959606358,1.1453571781066152,1.1684321230507584,1.1909555935883858,Chinese
5,8,Adult,4438,1.196479608906234,1.1721478651764157,1.1973106177103525,1.2222980527592542,Chinese
6,8,Adult,4438,1.137949908569408,1.1160883611255317,1.1389300852737323,1.1630469883022785,Chinese
7,8,Adult,4438,1.0659113737203452,1.0412053996791921,1.064722540260382,1.0879277593410461,Chinese
8,8,Adult,4438,0.9851771964850647,0.9667540243774344,0.9862449574749875,1.0032977166880677,Chinese
1,7,Adult,6431,7.905433601325416,7.891127637145939,7.9050585145242955,7.920285091954764,Chinese
2,7,Adult,6431,1.9003398850330797,1.8836347077909033,1.899697658144803,1.9129785492545874,Chinese
3,7,Adult,6431,1.2584069036914705,1.2388752134642247,1.2589877355534336,1.2775635851512077,Chinese
4,7,Adult,6431,1.199825365905572,1.1798780411467955,1.199483402787462,1.2158027824588482,Chinese
5,7,Adult,6431,1.1652547235789927,1.1464073516545483,1.1640804058410688,1.1823826759038751,Chinese
6,7,Adult,6431,1.0930969041866754,1.0704084721977354,1.0929270951834276,1.1142131207352977,Chinese
7,7,Adult,6431,1.041179237868437,1.0249148706981284,1.0416772888263228,1.0577869068768064,Chinese
1,9,Adult,2930,7.917817252976088,7.893343017813288,7.916504505271391,7.935783260210382,Chinese
2,9,Adult,2930,1.9178338329132913,1.8958938941410377,1.919775853612724,1.9458973174209073,Chinese
3,9,Adult,2930,1.2420890275935672,1.2166406466997524,1.2421309589981626,1.270390471689937,Chinese
4,9,Adult,2930,1.1979470055257908,1.1640086529503098,1.195819548788331,1.2234108199601288,Chinese
5,9,Adult,2930,1.164539630665307,1.1365796025682229,1.164500831320831,1.1907922059094131,Chinese
6,9,Adult,2930,1.1641214721438828,1.1419164663166723,1.1626589987253573,1.184972510976596,Chinese
