size,final_cost,marginal_cost,source,language,gram
2,0.115,0,wikipedia,Wu,trigram
3,0.103,-0.01200000000000001,wikipedia,Wu,trigram
4,0.099,-0.00399999999999999,wikipedia,Wu,trigram
5,0.098,-0.0010000000000000009,wikipedia,Wu,trigram
6,0.099,0.0010000000000000009,wikipedia,Wu,trigram
7,0.069,-0.03,wikipedia,Wu,trigram
8,0.059,-0.010000000000000009,wikipedia,Wu,trigram
9,0.064,0.0050000000000000044,wikipedia,Wu,trigram
10,0.06,-0.0040000000000000036,wikipedia,Wu,trigram
11,0.052,-0.008,wikipedia,Wu,trigram
12,0.051,-0.0010000000000000009,wikipedia,Wu,trigram
13,0.051,0.0,wikipedia,Wu,trigram
14,0.052,0.0010000000000000009,wikipedia,Wu,trigram
6,0.908,0,wikipedia,Bashkir,trigram
7,0.89,-0.018000000000000016,wikipedia,Bashkir,trigram
8,0.974,0.08399999999999996,wikipedia,Bashkir,trigram
9,0.863,-0.11099999999999999,wikipedia,Bashkir,trigram
10,0.852,-0.01100000000000001,wikipedia,Bashkir,trigram
11,0.864,0.01200000000000001,wikipedia,Bashkir,trigram
12,0.86,-0.0040000000000000036,wikipedia,Bashkir,trigram
13,0.87,0.010000000000000009,wikipedia,Bashkir,trigram
14,0.872,0.0020000000000000018,wikipedia,Bashkir,trigram
3,0.68,0,wikipedia,Chuvash,trigram
4,0.622,-0.05800000000000005,wikipedia,Chuvash,trigram
5,0.621,-0.0010000000000000009,wikipedia,Chuvash,trigram
6,0.635,0.014000000000000012,wikipedia,Chuvash,trigram
7,0.641,0.006000000000000005,wikipedia,Chuvash,trigram
8,0.652,0.01100000000000001,wikipedia,Chuvash,trigram
9,0.662,0.010000000000000009,wikipedia,Chuvash,trigram
10,0.668,0.006000000000000005,wikipedia,Chuvash,trigram
11,0.674,0.006000000000000005,wikipedia,Chuvash,trigram
12,0.679,0.0050000000000000044,wikipedia,Chuvash,trigram
13,0.69,0.010999999999999899,wikipedia,Chuvash,trigram
14,0.699,0.009000000000000008,wikipedia,Chuvash,trigram
1,0.8,0,wikipedia,Gagauz,unigram
2,0.718,-0.08200000000000007,wikipedia,Gagauz,unigram
3,0.538,-0.17999999999999994,wikipedia,Gagauz,unigram
4,0.466,-0.07200000000000001,wikipedia,Gagauz,unigram
5,0.449,-0.017000000000000015,wikipedia,Gagauz,unigram
6,0.383,-0.066,wikipedia,Gagauz,unigram
7,0.403,0.020000000000000018,wikipedia,Gagauz,unigram
8,0.342,-0.061,wikipedia,Gagauz,unigram
9,0.374,0.03199999999999997,wikipedia,Gagauz,unigram
10,0.318,-0.055999999999999994,wikipedia,Gagauz,unigram
11,0.307,-0.01100000000000001,wikipedia,Gagauz,unigram
12,0.317,0.010000000000000009,wikipedia,Gagauz,unigram
13,0.303,-0.014000000000000012,wikipedia,Gagauz,unigram
14,0.31,0.007000000000000006,wikipedia,Gagauz,unigram
2,0.161,0,wikipedia,Gagauz,trigram
3,0.116,-0.045,wikipedia,Gagauz,trigram
4,0.132,0.016,wikipedia,Gagauz,trigram
5,0.105,-0.02700000000000001,wikipedia,Gagauz,trigram
6,0.094,-0.010999999999999996,wikipedia,Gagauz,trigram
7,0.086,-0.008000000000000007,wikipedia,Gagauz,trigram
8,0.085,-0.000999999999999987,wikipedia,Gagauz,trigram
9,0.086,0.000999999999999987,wikipedia,Gagauz,trigram
10,0.079,-0.006999999999999992,wikipedia,Gagauz,trigram
11,0.073,-0.006000000000000005,wikipedia,Gagauz,trigram
12,0.073,0.0,wikipedia,Gagauz,trigram
13,0.073,0.0,wikipedia,Gagauz,trigram
14,0.072,-0.0010000000000000009,wikipedia,Gagauz,trigram
1,0.486,0,wikipedia,Karachay-Balkar,unigram
2,0.406,-0.07999999999999996,wikipedia,Karachay-Balkar,unigram
3,0.175,-0.23100000000000004,wikipedia,Karachay-Balkar,unigram
4,0.172,-0.0030000000000000027,wikipedia,Karachay-Balkar,unigram
5,0.119,-0.05299999999999999,wikipedia,Karachay-Balkar,unigram
6,0.111,-0.007999999999999993,wikipedia,Karachay-Balkar,unigram
7,0.118,0.006999999999999992,wikipedia,Karachay-Balkar,unigram
8,0.119,0.0010000000000000009,wikipedia,Karachay-Balkar,unigram
9,0.111,-0.007999999999999993,wikipedia,Karachay-Balkar,unigram
10,0.105,-0.006000000000000005,wikipedia,Karachay-Balkar,unigram
11,0.108,0.0030000000000000027,wikipedia,Karachay-Balkar,unigram
12,0.109,0.0010000000000000009,wikipedia,Karachay-Balkar,unigram
13,0.108,-0.0010000000000000009,wikipedia,Karachay-Balkar,unigram
14,0.112,0.0040000000000000036,wikipedia,Karachay-Balkar,unigram
2,0.137,0,wikipedia,Karachay-Balkar,trigram
3,0.089,-0.048000000000000015,wikipedia,Karachay-Balkar,trigram
4,0.093,0.0040000000000000036,wikipedia,Karachay-Balkar,trigram
5,0.088,-0.0050000000000000044,wikipedia,Karachay-Balkar,trigram
6,0.059,-0.028999999999999998,wikipedia,Karachay-Balkar,trigram
7,0.049,-0.009999999999999995,wikipedia,Karachay-Balkar,trigram
8,0.048,-0.0010000000000000009,wikipedia,Karachay-Balkar,trigram
9,0.052,0.003999999999999997,wikipedia,Karachay-Balkar,trigram
10,0.052,0.0,wikipedia,Karachay-Balkar,trigram
11,0.054,0.0020000000000000018,wikipedia,Karachay-Balkar,trigram
12,0.056,0.0020000000000000018,wikipedia,Karachay-Balkar,trigram
13,0.058,0.0020000000000000018,wikipedia,Karachay-Balkar,trigram
14,0.059,0.000999999999999994,wikipedia,Karachay-Balkar,trigram
1,0.325,0,wikipedia,Sakha,unigram
2,0.12,-0.20500000000000002,wikipedia,Sakha,unigram
3,0.087,-0.033,wikipedia,Sakha,unigram
4,0.062,-0.024999999999999994,wikipedia,Sakha,unigram
5,0.058,-0.003999999999999997,wikipedia,Sakha,unigram
6,0.052,-0.006000000000000005,wikipedia,Sakha,unigram
7,0.048,-0.003999999999999997,wikipedia,Sakha,unigram
8,0.049,0.0010000000000000009,wikipedia,Sakha,unigram
9,0.048,-0.0010000000000000009,wikipedia,Sakha,unigram
10,0.048,0.0,wikipedia,Sakha,unigram
11,0.05,0.0020000000000000018,wikipedia,Sakha,unigram
12,0.046,-0.0040000000000000036,wikipedia,Sakha,unigram
13,0.047,0.0010000000000000009,wikipedia,Sakha,unigram
14,0.048,0.0010000000000000009,wikipedia,Sakha,unigram
2,0.299,0,wikipedia,Sakha,trigram
3,0.055,-0.244,wikipedia,Sakha,trigram
4,0.03,-0.025,wikipedia,Sakha,trigram
5,0.025,-0.0049999999999999975,wikipedia,Sakha,trigram
6,0.023,-0.0020000000000000018,wikipedia,Sakha,trigram
7,0.024,0.0010000000000000009,wikipedia,Sakha,trigram
8,0.019,-0.005000000000000001,wikipedia,Sakha,trigram
9,0.019,0.0,wikipedia,Sakha,trigram
10,0.025,0.006000000000000002,wikipedia,Sakha,trigram
11,0.019,-0.006000000000000002,wikipedia,Sakha,trigram
12,0.019,0.0,wikipedia,Sakha,trigram
13,0.02,0.0010000000000000009,wikipedia,Sakha,trigram
14,0.02,0.0,wikipedia,Sakha,trigram
1,0.769,0,wikipedia,Tamil,unigram
2,0.645,-0.124,wikipedia,Tamil,unigram
3,0.519,-0.126,wikipedia,Tamil,unigram
4,0.502,-0.017000000000000015,wikipedia,Tamil,unigram
5,0.516,0.014000000000000012,wikipedia,Tamil,unigram
6,0.53,0.014000000000000012,wikipedia,Tamil,unigram
7,0.55,0.020000000000000018,wikipedia,Tamil,unigram
8,0.571,0.020999999999999908,wikipedia,Tamil,unigram
9,0.594,0.02300000000000002,wikipedia,Tamil,unigram
10,0.624,0.030000000000000027,wikipedia,Tamil,unigram
11,0.647,0.02300000000000002,wikipedia,Tamil,unigram
12,0.671,0.02400000000000002,wikipedia,Tamil,unigram
13,0.694,0.02299999999999991,wikipedia,Tamil,unigram
14,0.717,0.02300000000000002,wikipedia,Tamil,unigram
2,0.927,0,wikipedia,Tamil,trigram
3,0.316,-0.611,wikipedia,Tamil,trigram
4,0.274,-0.04199999999999998,wikipedia,Tamil,trigram
5,0.268,-0.006000000000000005,wikipedia,Tamil,trigram
6,0.268,0.0,wikipedia,Tamil,trigram
7,0.269,0.0010000000000000009,wikipedia,Tamil,trigram
8,0.264,-0.0050000000000000044,wikipedia,Tamil,trigram
9,0.27,0.006000000000000005,wikipedia,Tamil,trigram
10,0.265,-0.0050000000000000044,wikipedia,Tamil,trigram
11,0.266,0.0010000000000000009,wikipedia,Tamil,trigram
12,0.267,0.0010000000000000009,wikipedia,Tamil,trigram
13,0.267,0.0,wikipedia,Tamil,trigram
14,0.268,0.0010000000000000009,wikipedia,Tamil,trigram
2,0.739,0,wikipedia,Telugu,trigram
3,0.395,-0.344,wikipedia,Telugu,trigram
4,0.373,-0.02200000000000002,wikipedia,Telugu,trigram
5,0.343,-0.02999999999999997,wikipedia,Telugu,trigram
6,0.342,-0.0010000000000000009,wikipedia,Telugu,trigram
7,0.343,0.0010000000000000009,wikipedia,Telugu,trigram
8,0.342,-0.0010000000000000009,wikipedia,Telugu,trigram
9,0.344,0.0019999999999999463,wikipedia,Telugu,trigram
10,0.336,-0.007999999999999952,wikipedia,Telugu,trigram
11,0.338,0.0020000000000000018,wikipedia,Telugu,trigram
12,0.337,-0.0010000000000000009,wikipedia,Telugu,trigram
13,0.341,0.0040000000000000036,wikipedia,Telugu,trigram
14,0.34,-0.0010000000000000009,wikipedia,Telugu,trigram
1,0.528,0,wikipedia,Georgian,unigram
